State,Naics,Establishments,Employees,Payroll
AL,562212,16,309,18115
AL,562910,51,712,42239
AL,562991,26,167,9098
AL,562998,6,352,23741
AL,611110,159,7293,263054
AL,611210,3,530,18251
AL,611310,32,6420,225657
AL,611420,5,26,1010
AL,611430,32,187,8954
AL,611511,7,77,3266
AL,611512,10,80,6736
AL,611513,11,51,1488
AL,611519,39,517,28952
AL,611610,121,902,13478
AL,611620,183,1193,23661
AL,611691,73,573,8619
AL,611699,23,97,3608
AL,611710,53,285,11605
AL,621111,2647,38083,3420996
AL,621112,106,644,47673
AL,621210,1373,12365,699082
AL,621310,425,1751,67263
AL,621320,328,2055,100003
AL,621330,263,1251,48480
AL,621340,715,6439,285208
AL,621391,47,251,13241
AL,621399,286,1138,60532
AL,621410,5,18,1204
AL,621420,110,2264,118465
AL,621492,168,1757,102170
AL,621493,80,2837,137182
AL,621498,186,7967,846939
AL,621511,254,2667,148834
AL,621512,59,711,56873
AL,621610,484,9897,526181
AL,621910,41,1741,84493
AL,621991,38,1160,53171
AL,621999,84,1026,66922
AL,622110,32,55926,3746010
AL,622210,3,1859,128554
AL,622310,8,1059,72965
AL,623110,174,16337,666278
AL,623210,331,5352,171473
AL,623220,45,1341,54338
AL,623311,24,1927,74867
AL,623312,139,4151,114040
AL,623990,56,831,27696
AL,624110,177,1614,57634
AL,624120,310,9170,205263
AL,624190,477,4060,144305
AL,624210,15,155,6508
AL,624221,30,384,13670
AL,624229,21,186,10813
AL,624230,6,158,12439
AL,624310,36,1252,49339
AL,624410,970,12006,310411
AL,711110,15,205,6350
AL,711130,25,246,6764
AL,711211,5,95,4259
AL,711219,8,17,724
AL,711310,19,716,16263
AL,711320,28,246,19031
AL,711410,6,29,2205
AL,711510,74,184,7387
AL,712110,23,235,10085
AL,712120,4,48,1917
AL,713110,3,506,13137
AL,713120,30,792,16761
AL,713290,7,142,3066
AL,713910,77,3640,111147
AL,713930,44,391,17944
AL,713940,465,6561,92473
AL,713950,6,250,5456
AL,713990,176,2272,43190
AL,721110,881,15738,440256
AL,721199,5,179,7710
AL,721211,39,227,5258
AL,721214,16,90,5748
AL,721310,30,75,2682
AL,722310,297,5846,162848
AL,722320,70,484,12172
AL,722330,97,441,6890
