	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS_TTL	NAICS_Sector	GEO_ID	estab	emp	payann
10976	17	17	0	Illinois	311611	Animal (except poultry) slaughtering	31	0400000US17	62.888888888888886	8531.777777777777	352803.0
10977	17	17	0	Illinois	311612	Meat processed from carcasses	31	0400000US17	78.22222222222223	8491.666666666666	399628.22222222225
10978	17	17	0	Illinois	311613	Rendering and meat byproduct processing	31	0400000US17	10.222222222222221	240.11111111111111	16711.777777777777
10979	17	17	0	Illinois	311615	Poultry processing	31	0400000US17	12.333333333333334	1760.4444444444443	75725.77777777778
10980	17	17	0	Illinois	311710	Seafood product preparation and packaging	31	0400000US17	6.444444444444445	459.6666666666667	22107.555555555555
10981	17	17	0	Illinois	311811	Retail bakeries	31	0400000US17	276.1111111111111	3116.0	63025.88888888889
10982	17	17	0	Illinois	311812	Commercial bakeries	31	0400000US17	163.44444444444446	7065.222222222223	308987.3333333333
10983	17	17	0	Illinois	311813	Frozen cakes, pies, and other pastries manufacturing	31	0400000US17	9.666666666666666	828.7777777777778	32526.555555555555
10984	17	17	0	Illinois	311821	Cookie and cracker manufacturing	31	0400000US17	29.0	2944.0	183421.88888888888
10985	17	17	0	Illinois	311824	Dry pasta, dough, and flour mixes manufacturing from purchased flour	31	0400000US17	25.22222222222222	2405.5555555555557	84465.88888888889
10986	17	17	0	Illinois	311830	Tortilla manufacturing	31	0400000US17	11.222222222222221	723.8888888888889	35114.333333333336
10987	17	17	0	Illinois	311911	Roasted nuts and peanut butter manufacturing	31	0400000US17	6.111111111111111	659.2222222222222	35632.666666666664
10988	17	17	0	Illinois	311919	Other snack food manufacturing	31	0400000US17	19.22222222222222	1016.0	38413.666666666664
10989	17	17	0	Illinois	311920	Coffee and tea manufacturing	31	0400000US17	16.555555555555557	171.33333333333334	9389.555555555555
10990	17	17	0	Illinois	311930	Flavoring syrup and concentrate manufacturing	31	0400000US17	5.888888888888889	76.0	8009.222222222223
10991	17	17	0	Illinois	311941	Mayonnaise, dressing, and other prepared sauce manufacturing	31	0400000US17	19.666666666666668	1274.5555555555557	72517.33333333333
10992	17	17	0	Illinois	311942	Spice and extract manufacturing	31	0400000US17	32.22222222222222	2874.777777777778	180167.66666666666
10993	17	17	0	Illinois	311991	Perishable prepared food manufacturing	31	0400000US17	35.666666666666664	2116.6666666666665	74056.77777777778
10994	17	17	0	Illinois	311999	All other miscellaneous food manufacturing	31	0400000US17	39.111111111111114	2789.3333333333335	152119.44444444444
10995	17	17	0	Illinois	312111	Soft drink manufacturing	31	0400000US17	16.555555555555557	2253.5555555555557	103200.11111111111
10996	17	17	0	Illinois	312112	Bottled water manufacturing	31	0400000US17	10.555555555555555	319.1111111111111	15523.666666666666
10997	17	17	0	Illinois	312113	Ice manufacturing	31	0400000US17	8.88888888888889	52.888888888888886	2280.0
10998	17	17	0	Illinois	312120	Breweries	31	0400000US17	75.11111111111111	877.7777777777778	35892.22222222222
10999	17	17	0	Illinois	312130	Wineries	31	0400000US17	54.333333333333336	485.1111111111111	9654.888888888889
