,fips,relevant_naics,YEAR,estab,emp,payann
856,6,424690,2017,892,10594,847740
858,6,423440,2017,549,6404,373391
860,6,423390,2017,390,5436,334583
862,6,423690,2017,2579,73949,12185454
864,6,424590,2017,89,775,46471
866,6,424490,2017,2312,47318,2708925
868,6,423990,2017,1590,11253,712864
870,6,424990,2017,2467,14341,745072
872,6,423490,2017,339,4588,386370
874,6,424420,2017,581,11261,577855
876,6,424950,2017,200,2344,158785
878,6,424720,2017,185,2244,194013
880,6,424710,2017,282,4681,311625
882,6,423410,2017,123,1678,129454
884,6,424310,2017,931,5204,255260
886,6,424610,2017,374,3594,256624
888,6,423720,2017,634,9910,685486
890,6,424440,2017,66,991,65880
892,6,424110,2017,95,734,56020
894,6,423930,2017,968,10882,536241
896,6,423740,2017,143,1700,108633
898,6,423330,2017,193,2405,146706
900,6,423850,2017,524,5019,285124
902,6,423910,2017,994,9937,660440
904,6,424120,2017,545,5914,350300
906,6,423130,2017,262,5127,290562
908,6,424940,2017,168,1339,82844
910,6,423920,2017,614,9346,603027
912,6,423860,2017,326,5225,397127
914,6,423730,2017,433,4284,344863
916,6,425120,2017,4402,32938,1818372
918,6,424820,2017,501,12032,947622
920,6,424330,2017,2966,31691,1778808
922,6,446199,2017,982,5239,249745
924,6,442299,2017,1508,20869,451696
926,6,445299,2017,820,5599,90223
928,6,441310,2017,3350,36080,1044592
930,6,445291,2017,328,2852,85820
932,6,445310,2017,4088,16291,388164
934,6,441222,2017,212,1387,58744
936,6,448130,2017,788,8891,127943
938,6,448150,2017,1079,8530,220222
940,6,445292,2017,541,4638,81948
942,6,445120,2017,2706,17058,343122
944,6,446120,2017,2311,23376,496759
946,6,443142,2017,2744,35464,1138887
948,6,448140,2017,3754,116219,2205806
950,6,445220,2017,133,721,18177
952,6,442210,2017,1123,7839,364195
954,6,446191,2017,1305,6092,167766
956,6,445230,2017,299,2167,56494
958,6,442110,2017,2288,20009,809128
960,6,447110,2017,6514,53368,1250881
962,6,444130,2017,1192,15788,447249
964,6,444110,2017,491,16193,456956
966,6,443141,2017,629,5498,220647
968,6,448310,2017,2630,12723,544679
970,6,448320,2017,145,973,47685
972,6,445210,2017,524,3374,87541
974,6,448110,2017,800,6584,191684
976,6,441228,2017,549,5993,248878
978,6,441110,2017,1927,124219,7671699
980,6,444220,2017,1110,10165,319799
982,6,446130,2017,1142,7983,204661
984,6,444190,2017,2904,26987,1307984
986,6,448190,2017,1438,14437,309422
988,6,447190,2017,1157,11131,298868
990,6,444210,2017,145,860,32924
992,6,444120,2017,705,4014,165018
994,6,446110,2017,4766,57318,3124519
996,6,441210,2017,238,4128,238048
998,6,448210,2017,3012,32838,599520
1000,6,445110,2017,7767,297767,8807654
