SITE_ID,NAME,CITY,COUNTY,COUNTY_FIPS_CODE,ZIP_CODE,LATITUDE,LONGITUDE,VIRTUAL_TOUR,PROPERTY_LINK
8245,Prologis Orchard Hills Bldg 100 BTS,Newnan,Coweta,13077,30263,33.33821373,-84.76217904,https://kuula.co/share/collection/7lBbj?fs=1&vr=1&zoom=1&sd=1&initload=0&autorotate=0.06&thumbs=1&chromeless=1&logo=1&logosize=147,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8245
8250,Prologis Orchard Hills Bldg 300 BTS,Newnan,Coweta,13077,30263,33.33374627,-84.76771796,https://kuula.co/share/collection/7lBbj?fs=1&vr=1&zoom=1&sd=1&initload=0&autorotate=0.06&thumbs=1&chromeless=1&logo=1&logosize=147,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8250
8040,Riverside West Business Park,Douglasville,Douglas,13097,30122,33.72771257,-84.61568349,https://roundme.com/tour/511078/view/1692056,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8040
8124,Grand View,Rincon,Effingham,13103,31326,32.30207284,-81.18624345,https://roundme.com/tour/465945/view/1595323/,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8124
7240,Savannah Gateway Industrial Hub GRAD,Rincon,Effingham,13103,31326,32.24971286,-81.26732739,https://kuula.co/post/79Bf5/collection/7lcgR,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=7240
7120,Savannah Portside International Park,Meldrim,Effingham,13103,31318,32.12862924,-81.36886258,https://roundme.com/tour/465920/view/1595137/,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=7120
4582,Brooks Place Site,Tyrone,Fayette,13113,30213,33.52129545,-84.58126473,https://roundme.com/tour/511094/view/1692084,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=4582
5461,Fayette Business Center,Fayetteville,Fayette,13113,30214,33.44972713,-84.52386760,https://roundme.com/tour/511098/view/1692096,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=5461
8708,Rivers Site,Fayetteville,Fayette,13113,30214,33.45235487,-84.51643702,https://roundme.com/tour/511103/view/1692118/,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8708
1,Berry Corporate Center,Rome,Floyd,13115,30165,34.29383295,-85.25882547,https://roundme.com/tour/521784/view/1729252,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=1
1081,North Floyd Industrial Rail Site,Rome,Floyd,13115,30161,34.3695907,-85.05451875,https://roundme.com/tour/521755/view/1729116,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=1081
7583,North Floyd Industrial Site,Rome,Floyd,13115,30103,34.37443714,-85.03059802,https://roundme.com/tour/521781/view/1729227,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=7583
1088,Northwest Regional Industrial Park,Rome,Floyd,13115,30161,34.3289899,-85.08797400,https://roundme.com/tour/521777/view/1729195,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=1088
8361,Sibley Site,Lavonia,Franklin,13119,30553,34.45213191,-83.08622580,https://roundme.com/tour/514465/view/1705404,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8361
1835,Shugart Farms: 8500 Tatum Road Site,Palmetto,Fulton,13121,30268,33.52441954,-84.62771447,https://kuula.co/share/collection/7lBbY?fs=1&vr=1&zoom=1&sd=1&initload=0&autorotate=0.04&thumbs=1&chromeless=1&logo=1&logosize=182,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=1835
8652,Boswell CSX Rail Site,Greensboro,Greene,13133,30642,33.55732382,-83.19804235,https://kuula.co/post/7TClc/collection/7PYsr,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8652
8153,Boswell GA 44 & Willow Run Road Site,Greensboro,Greene,13133,30642,33.55501948,-83.20250041,https://kuula.co/post/7TClX/collection/7PYsr,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8153
8078,Greene County I.P. Lot 16,Greensboro,Greene,13133,30642,33.56468989,-83.18823038,https://kuula.co/post/7TCl1/collection/7PYsr,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8078
8079,Greene County I.P. Lot 18,Greensboro,Greene,13133,30642,33.56228471,-83.18585435,https://kuula.co/post/7TClD/collection/7PYsr,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8079
8647,Greene County I.P. Lot 3,Greensboro,Greene,13133,30642,33.55891232,-83.18805954,https://kuula.co/post/7TClM/collection/7PYsr,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8647
8649,Greene County I.P. Lot 5,Greensboro,Greene,13133,30642,33.56031193,-83.18586528,https://kuula.co/post/7TClD/collection/7PYsr,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8649
8650,Greene County I.P. Lot 6,Greensboro,Greene,13133,30642,33.56084702,-83.18642614,https://kuula.co/post/7TClD/collection/7PYsr,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8650
8082,Greene County I.P. Lot 8A,Greensboro,Greene,13133,30642,33.55971853,-83.19104436,https://kuula.co/post/7TClT/collection/7PYsr,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8082
8077,Greene County I.P. Lots 10 and 11,Greensboro,Greene,13133,30642,33.55937473,-83.19642907,https://kuula.co/post/7TClc/collection/7PYsr,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8077
253,Habersham County Industrial Park,Baldwin,Habersham,13137,30531,34.4957957,-83.55763346,https://kuula.co/post/7dfCL/collection/7Pqwm,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=253
7521,Northwest Harris Business Park,West Point,Harris,13145,31833,32.85392154,-85.12456805,https://kuula.co/post/79xqF/collection/7lXMy,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=7521
6260,Gateway II,Hartwell,Hart,13147,30553,34.47245376,-83.05240951,https://roundme.com/tour/514514/view/1705536,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=6260
8376,Gateway III,Hartwell,Hart,13147,30553,34.46576208,-83.05298819,https://roundme.com/tour/514504/view/1705522/,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8376
3420,Gateway Industrial Park,Hartwell,Hart,13147,30553,34.46782282,-83.06640229,https://roundme.com/tour/514481/view/1705471/,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=3420
8088,Houston County I-75 GRAD Site,Perry,Houston,13153,31069,32.49202237,-83.77392123,https://roundme.com/tour/519541/view/1721003,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8088
41,Houston County Rail Site,Perry,Houston,13153,31069,32.4376325,-83.61604433,https://roundme.com/tour/519562/view/1721085,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=41
1562,Commerce 85 North Site,Commerce,Jackson,13157,30529,34.24099464,-83.49851844,https://roundme.com/tour/514451/view/1705331/,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=1562
8777,Commerce GA 98 Site,Commerce,Jackson,13157,30529,34.21655439,-83.48945701,https://roundme.com/tour/514459/view/1705353/,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8777
3980,Tradeport East,Midway,Liberty,13179,31320,31.77294319,-81.34235783,https://roundme.com/tour/553506/view/1811981,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=3980
70,Muscogee Technology Park - Parcel 14B,Columbus,Muscogee,13215,31907,32.4917725,-84.85863484,https://kuula.co/post/714Sq/collection/7lScx,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=70
62,Muscogee Technology Park - Parcel 5,Columbus,Muscogee,13215,31907,32.52480325,-84.84680327,https://kuula.co/post/714Sl/collection/7lScx,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=62
63,Muscogee Technology Park - Parcel 7,Columbus,Muscogee,13215,31907,32.52577266,-84.84127860,https://kuula.co/post/714Sl/collection/7lScx,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=63
64,Muscogee Technology Park - Parcel 8,Columbus,Muscogee,13215,31907,32.52302147,-84.84344884,https://kuula.co/post/714SL/collection/7lScx,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=64
73,Muscogee Technology Park - Parcels 17 & 18,Columbus,Muscogee,13215,31907,32.49619661,-84.85479922,https://kuula.co/post/714Sq/collection/7lScx,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=73
1702,Cedartown North Business Park,Cedartown,Polk,13233,30125,34.04057063,-85.22548991,https://kuula.co/post/7F5y2/collection/7lKlC,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=1702
1554,Augusta Corporate Park,Augusta,Richmond,13245,30906,33.27364605,-81.93357073,https://roundme.com/tour/504699/view/1671214/,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=1554
3943,Rockdale Technology Center,Conyers,Rockdale,13247,30013,33.63358718,-83.96520333,https://roundme.com/viewgallery/2990/539334,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=3943
