	NAICS_Sector	NAICS_TTL	state	relevant_naics	COUNTY	id	GEO_TTL	GEO_ID	estab	emp	payann	estimate
75	23	Highway, street, and bridge construction	10	2373	3	10003	New Castle County, Delaware	0500000US10003	21.363636363636363	932.4545454545455	72531.90909090909	0.18181818181818182
76	23	Highway, street, and bridge construction	10	2373	5	10005	Sussex County	0500000US10005	3.0	82.0	3487.0	0.0
77	23	Highway, street, and bridge construction	10	2373	5	10005	Sussex County, Delaware	0500000US10005	5.181818181818182	127.54545454545455	6156.272727272727	0.18181818181818182
78	23	Land subdivision	10	2372	1	10001	Kent County	0500000US10001	1.0	38.0	494.0	1.0
79	23	Land subdivision	10	2372	3	10003	New Castle County	0500000US10003	7.0	166.0	15042.0	0.0
80	23	Land subdivision	10	2372	3	10003	New Castle County, Delaware	0500000US10003	2.923076923076923	6.384615384615385	511.84615384615387	0.6153846153846154
81	23	Land subdivision	10	2372	5	10005	Sussex County	0500000US10005	4.0	0.0	2125.0	0.0
82	23	Land subdivision	10	2372	5	10005	Sussex County, Delaware	0500000US10005	3.2	11.0	884.0	0.3
83	23	Nonresidential building construction	10	2362	1	10001	Kent County	0500000US10001	14.0	104.0	4259.0	0.0
84	23	Nonresidential building construction	10	2362	1	10001	Kent County, Delaware	0500000US10001	13.0	87.63636363636364	4400.909090909091	0.18181818181818182
85	23	Nonresidential building construction	10	2362	3	10003	New Castle County	0500000US10003	69.0	989.0	57534.0	0.0
86	23	Nonresidential building construction	10	2362	3	10003	New Castle County, Delaware	0500000US10003	65.72727272727273	1044.8181818181818	71458.27272727272	0.18181818181818182
87	23	Nonresidential building construction	10	2362	5	10005	Sussex County	0500000US10005	21.0	145.0	5473.0	0.0
88	23	Nonresidential building construction	10	2362	5	10005	Sussex County, Delaware	0500000US10005	20.818181818181817	124.18181818181819	7519.272727272727	0.18181818181818182
89	23	Other heavy and civil engineering construction	10	2379	1	10001	Kent County, Delaware	0500000US10001	1.0	1.0	-1.75	1.0
90	23	Other heavy and civil engineering construction	10	2379	3	10003	New Castle County	0500000US10003	1.0	0.0	0.0	1.0
91	23	Other heavy and civil engineering construction	10	2379	3	10003	New Castle County, Delaware	0500000US10003	2.142857142857143	4.142857142857143	355.5	0.7142857142857143
92	23	Other heavy and civil engineering construction	10	2379	5	10005	Sussex County	0500000US10005	4.0	0.0	0.0	1.0
93	23	Other heavy and civil engineering construction	10	2379	5	10005	Sussex County, Delaware	0500000US10005	6.1	19.2	675.9	0.1
94	23	Other specialty trade contractors	10	2389	1	10001	Kent County	0500000US10001	36.0	148.0	5584.0	0.0
95	23	Other specialty trade contractors	10	2389	1	10001	Kent County, Delaware	0500000US10001	35.18181818181818	215.63636363636363	10833.181818181818	0.18181818181818182
96	23	Other specialty trade contractors	10	2389	3	10003	New Castle County	0500000US10003	108.0	912.0	49640.0	0.0
97	23	Other specialty trade contractors	10	2389	3	10003	New Castle County, Delaware	0500000US10003	111.54545454545455	1201.090909090909	69311.81818181818	0.18181818181818182
98	23	Other specialty trade contractors	10	2389	5	10005	Sussex County	0500000US10005	66.0	471.0	18549.0	0.0
99	23	Other specialty trade contractors	10	2389	5	10005	Sussex County, Delaware	0500000US10005	69.9090909090909	661.3636363636364	29861.18181818182	0.18181818181818182
100	23	Residential building construction	10	2361	1	10001	Kent County	0500000US10001	71.0	184.0	6936.0	0.0
101	23	Residential building construction	10	2361	1	10001	Kent County, Delaware	0500000US10001	81.36363636363636	275.0	15262.818181818182	0.18181818181818182
102	23	Residential building construction	10	2361	3	10003	New Castle County	0500000US10003	240.0	926.0	33982.0	0.0
103	23	Residential building construction	10	2361	3	10003	New Castle County, Delaware	0500000US10003	289.6363636363636	1177.3636363636363	63770.09090909091	0.18181818181818182
104	23	Residential building construction	10	2361	5	10005	Sussex County	0500000US10005	212.0	879.0	34535.0	0.0
105	23	Residential building construction	10	2361	5	10005	Sussex County, Delaware	0500000US10005	237.9090909090909	1067.1818181818182	62144.454545454544	0.18181818181818182
106	23	Utility system construction	10	2371	1	10001	Kent County	0500000US10001	11.0	190.0	9418.0	0.0
