,fips,relevant_naics,YEAR,estab,emp,payann
966,24,622110,2017,31,70060,4353389
968,24,621491,2017,37,0,0
970,24,621610,2017,563,17473,560426
972,24,621492,2017,161,1793,96619
974,24,621511,2017,224,2516,144493
976,24,623110,2017,242,29222,1110273
978,24,621399,2017,363,1515,59152
980,24,621310,2017,428,1741,69846
982,24,621210,2017,2690,17684,970498
984,24,621330,2017,465,1773,72359
986,24,621320,2017,253,1549,72690
988,24,621340,2017,904,8798,387027
990,24,621111,2017,4196,50543,4586503
992,24,621112,2017,283,1470,96923
994,24,621391,2017,208,1030,47723
996,24,624229,2017,71,711,31375
998,24,624190,2017,444,6856,239432
1000,24,623990,2017,77,1339,42874
1002,24,621420,2017,320,5470,207251
1004,24,623210,2017,772,15325,385733
1006,24,623220,2017,133,2938,106923
1008,24,624120,2017,497,19382,479810
1010,24,624221,2017,54,661,21953
1012,24,624310,2017,120,6520,186888
1014,24,711410,2017,33,60,4065
1016,24,713990,2017,306,2918,60411
1018,24,713110,2017,3,40,3523
1020,24,713120,2017,65,620,11113
1022,24,713950,2017,40,765,12089
1024,24,713940,2017,711,16956,242446
1026,24,713910,2017,111,5419,182735
1028,24,712120,2017,7,77,2470
1030,24,711510,2017,209,484,25866
1032,24,713930,2017,153,1200,46868
1034,24,712110,2017,58,1051,33237
1036,24,711130,2017,44,115,4108
1038,24,713290,2017,18,307,10212
1040,24,711219,2017,62,404,12407
1042,24,711310,2017,33,1635,35610
1044,24,711320,2017,64,347,27228
1046,24,711212,2017,3,0,0
1048,24,711211,2017,10,62,1783
1050,24,711110,2017,43,1039,43907
1052,24,721191,2017,24,119,2782
1054,24,722514,2017,62,1186,21164
1056,24,722320,2017,256,4296,115395
1058,24,722410,2017,446,4623,90226
1060,24,722310,2017,573,11603,257632
1062,24,722511,2017,3556,94931,1920558
1064,24,721110,2017,684,21861,704333
1066,24,722513,2017,5408,82051,1318530
1068,24,722330,2017,67,147,3046
1070,24,721211,2017,14,83,2506
1072,24,721214,2017,36,469,11089
1074,24,721310,2017,12,26,528
1076,24,722515,2017,911,9724,151120
1078,24,811198,2017,50,161,6362
1080,24,812990,2017,224,1277,44196
1082,24,811412,2017,71,419,17717
1084,24,811121,2017,549,4991,265559
1086,24,811112,2017,15,53,2170
1088,24,811122,2017,93,514,20486
1090,24,811191,2017,98,1068,33426
1092,24,811113,2017,37,173,7778
1094,24,812111,2017,103,617,14310
1096,24,812112,2017,1523,11863,296786
1098,24,813910,2017,228,1921,162922
1100,24,811192,2017,247,2952,67328
1102,24,812220,2017,87,771,29426
1104,24,813410,2017,483,3816,106462
1106,24,812310,2017,189,736,15602
1108,24,811310,2017,306,2676,163982
1110,24,811213,2017,17,121,10099
1112,24,811212,2017,77,466,24171
1114,24,811211,2017,26,157,6735
1116,24,812191,2017,56,354,3899
1118,24,812320,2017,497,2907,62662
1120,24,813312,2017,146,1454,65840
1122,24,811430,2017,25,52,1360
1124,24,812210,2017,210,1999,77582
1126,24,811111,2017,1693,7949,347972
1128,24,813211,2017,311,2273,168418
1130,24,811411,2017,9,20,669
1132,24,813311,2017,63,690,40423
1134,24,812332,2017,10,365,15524
1136,24,813930,2017,208,3361,221835
1138,24,812331,2017,10,414,14928
1139,24,812113,2017,414,2063,52316
1141,24,811118,2017,33,166,6888
1143,24,811219,2017,73,405,25096
1145,24,813219,2017,48,529,31947
1147,24,811490,2017,253,1042,37456
1149,24,812199,2017,281,2127,47912
1151,24,813990,2017,305,2417,87105
1153,24,813319,2017,117,1023,58798
1155,24,812930,2017,281,2539,53982
1157,24,812910,2017,335,2391,51876
1159,24,812921,2017,3,0,0
1161,24,813940,2017,50,54,2858
1163,24,813920,2017,224,5580,586463
1165,24,813110,2017,3309,30928,814471
1167,24,811420,2017,76,248,8847
1169,24,813212,2017,107,2153,194760
