Naics,Establishments,Employees,Payroll
522291,13,74,6043
522292,147,1046,115878
488510,181,3736,299331
511110,72,1230,39146
512110,50,173,11961
512120,4,6,1144
512131,41,381,7690
515111,5,14,490
515112,75,595,23560
517919,10,294,30276
522390,25,343,20987
518210,123,5770,530462
519130,40,254,14652
519190,5,7,527
523910,46,129,12762
523920,330,916,141166
522120,3,56,4705
522130,124,999,51339
522210,5,23,4024
523110,19,186,49630
523120,123,1351,297572
523991,12,56,4798
523999,5,20,984
524113,49,1707,138962
524114,59,4150,326843
524126,104,1258,88922
524127,12,55,3480
524128,7,158,20119
524291,45,132,9642
524292,42,1829,131413
524298,9,27,1757
525990,6,14,957
531110,724,2636,79218
531120,228,887,34971
531130,174,423,11783
531190,57,127,3965
531210,1063,2067,104536
531311,395,2504,88748
531390,83,154,6285
532210,99,480,18673
532284,21,92,2332
532289,58,312,12394
532310,28,151,8498
533110,8,46,2328
541110,1342,5033,312034
541199,17,31,939
541340,19,58,3518
524210,1555,5544,318976
531312,94,459,34726
531320,165,451,28001
532111,56,318,10274
532120,51,515,23193
532281,5,28,1034
532282,9,30,569
532283,44,431,25364
541214,28,242,11887
541219,334,1685,62823
532411,5,4,236
532412,49,605,41269
532420,3,7,350
541330,382,3830,321718
532490,67,534,50834
541191,181,1496,76000
541211,489,2723,164090
541213,325,1316,18742
541310,136,1271,103024
541320,10,24,760
541380,56,1114,66686
541410,73,131,5666
541430,55,149,6790
541490,11,23,541
541513,34,286,22683
541519,37,217,12438
541612,33,409,18913
541613,291,1130,99673
541614,66,601,45155
541618,25,34,1971
541620,57,645,63420
541720,4,15,1195
541810,84,1109,93477
541820,32,130,11097
541350,48,95,3544
541360,7,15,759
541713,9,29,2265
541714,7,33,2135
541715,45,618,45206
541370,96,387,17742
541420,11,19,1538
541511,252,2546,227833
541512,207,2168,168418
541611,524,2388,175141
541690,175,660,65705
541830,4,11,829
541840,4,4,278
541850,21,79,5085
541860,3,54,1835
541890,50,507,14367
541910,22,198,19446
541921,81,226,6225
541922,11,21,1323
541930,9,12,340
541940,334,3247,122443
541990,67,433,26822
551111,15,185,23355
551112,33,128,13479
551114,996,36091,4442232
561110,280,3499,260105
561210,111,1418,60012
561311,33,544,17063
561330,20,2220,94415
561410,26,128,3925
561421,7,148,4184
561422,27,2337,59504
561431,30,139,3498
561439,32,268,9801
561440,19,421,16587
561450,3,50,4687
561492,21,38,1442
561499,24,374,10540
561510,32,169,6268
561520,5,16,530
561591,4,14,759
561599,11,32,1540
561740,44,192,5248
561790,98,443,16654
561910,13,233,10040
561920,17,24,923
562112,4,106,6031
562119,6,54,3115
562212,16,604,39555
562219,3,18,1012
562910,35,423,21206
562920,22,224,8924
562991,25,84,3259
611110,155,6509,226735
611210,6,548,12623
611310,30,5591,156798
611430,33,80,3936
611620,123,906,14862
611630,5,22,968
611692,6,25,663
611699,18,123,4799
621112,86,315,23381
621210,916,7493,411496
621310,353,1157,46820
621391,34,196,10284
621399,283,819,43170
621420,198,2861,126134
621493,94,1089,58919
621498,229,4041,249775
