,relevant_naics,estab,emp,payann,fips
340101,6241,4,104,3134,02220
340102,6244,4,35,782,02220
340103,7121,3,14,558,02220
340104,7139,11,20,1493,02220
340105,7211,10,76,3013,02220
340106,7212,6,17,2164,02220
340107,7225,20,205,5566,02220
340108,8111,3,14,670,02220
340109,8114,7,110,6203,02220
340110,8121,3,4,34,02220
340111,8131,10,22,452,02220
340112,8133,5,20,852,02220
340113,8134,5,19,234,02220
340114,2362,34,363,29986,02090
340115,2371,9,225,13712,02090
340116,2379,4,7,947,02090
340117,2373,13,222,42896,02090
340118,2381,32,169,19858,02090
340119,2382,80,564,51305,02090
340120,2383,50,158,9630,02090
340121,2389,48,194,17839,02090
340122,3121,7,117,3187,02090
340123,3149,3,32,1384,02090
340124,3152,3,7,227,02090
340125,3219,4,9,439,02090
340126,3117,5,16,10123,02070
340127,4451,6,161,3297,02070
340128,4471,3,16,305,02070
340129,4811,3,36,1105,02070
340130,4812,6,17,1012,02070
340131,5311,3,10,822,02070
340132,7139,6,0,587,02070
340133,7211,3,27,505,02070
340134,7212,3,1,503,02070
340135,7225,4,4,158,02070
340136,3231,6,37,1267,02090
340137,3241,6,56,4166,02090
340138,3273,7,19,2404,02090
340139,3323,3,19,819,02090
340140,3327,6,16,613,02090
340141,3399,4,15,581,02090
340142,4231,4,55,3011,02090
340143,4233,6,22,1449,02090
340144,4234,9,53,2344,02090
340145,4235,3,10,436,02090
340146,4236,8,89,5726,02090
340147,4237,6,77,4141,02090
340148,4238,12,137,11199,02090
340149,4244,8,134,7009,02090
340150,4246,5,24,1462,02090
340151,4247,5,78,4462,02090
340152,4411,12,419,22793,02090
340153,4412,12,94,5275,02090
340154,4413,25,302,12833,02090
340155,4421,5,33,1096,02090
340156,4422,7,70,3115,02090
340157,1133,5,86,6792,02130
340158,1141,12,5,734,02130
340159,4431,9,38,1196,02090
340160,4441,26,609,22454,02090
340161,4442,3,25,692,02090
340162,4451,10,375,11555,02090
340163,4452,9,47,1020,02090
340164,4453,7,63,1404,02090
340165,4461,19,148,5244,02090
340166,4471,29,290,9683,02090
340167,4481,16,162,3609,02090
340168,4482,4,25,417,02090
340169,4483,5,37,1468,02090
340170,4511,23,311,4883,02090
340171,4512,5,48,878,02090
340172,2361,22,51,2232,02130
340173,2381,3,3,89,02130
340174,2382,9,94,6271,02130
340175,2383,9,25,456,02130
340176,2389,7,23,1305,02130
340177,3117,5,73,11949,02130
340178,4246,3,7,347,02130
340179,2362,6,29,1498,02130
340180,2379,4,5,367,02130
340181,4413,3,34,1236,02130
340182,4422,3,8,316,02130
340183,4441,5,37,2477,02130
340184,4451,4,253,8379,02130
340185,4471,5,36,1041,02130
340186,4481,6,42,1426,02130
340187,4483,21,19,7139,02130
340188,4511,5,29,957,02130
340189,4523,7,176,5557,02130
340190,4532,20,60,2671,02130
340191,4539,8,13,954,02130
340192,4533,3,22,846,02130
340193,4523,4,1015,33247,02090
340194,4532,18,99,3432,02090
340195,4533,5,60,1290,02090
340196,4539,23,155,6763,02090
340197,4543,14,158,8380,02090
340198,4811,6,338,16166,02090
340199,4812,9,187,10667,02090
340200,4831,3,35,2285,02090
340201,4841,30,318,26529,02090
340202,4842,31,375,24144,02090
340203,4871,3,57,2748,02090
340204,4872,3,28,3738,02090
340205,4881,9,65,1576,02090
340206,4884,5,9,297,02090
340207,4885,3,32,1141,02090
340208,4921,4,65,3483,02090
340209,5151,7,90,3797,02090
340210,5173,26,274,22182,02090
340211,4812,4,92,8840,02130
340212,4831,5,96,11256,02130
340213,4871,7,36,2217,02130
340214,4872,12,39,4444,02130
340215,4879,7,11,1583,02130
340216,4881,3,22,1191,02130
340217,4883,10,122,13781,02130
340218,5173,8,51,3273,02130
340219,4842,5,12,842,02130
340220,5221,11,177,9556,02130
340221,5239,3,3,164,02130
340222,5242,3,23,1754,02130
340223,5311,17,28,624,02130
340224,5312,4,4,613,02130
340225,5321,4,35,1230,02130
340226,5411,13,31,1535,02130
340227,5412,7,31,1534,02130
340228,5413,8,27,1832,02130
340229,5416,4,4,345,02130
340230,5511,6,423,28259,02130
340231,5221,37,455,25899,02090
340232,5222,7,25,1743,02090
340233,5231,6,16,1890,02090
340234,5239,10,28,1864,02090
340235,5611,6,65,5791,02130
340236,5241,6,26,824,02090
340237,5242,31,110,6282,02090
340238,5311,49,280,16598,02090
340239,5312,50,75,3386,02090
340240,5313,25,79,4369,02090
340241,5321,15,108,3767,02090
340242,5324,11,122,11807,02090
340243,5322,8,36,849,02090
340244,5613,3,2,781,02130
340245,5615,8,78,6489,02130
340246,5617,7,26,740,02130
340247,5619,3,14,786,02130
340248,6116,4,19,337,02130
340249,6212,5,35,1822,02130
340250,6213,11,32,1625,02130
340251,6214,4,11,548,02130
340252,6241,9,193,6028,02130
340253,6242,4,42,1393,02130
340254,7139,16,31,1821,02130
340255,7211,8,181,5625,02130
340256,7212,7,23,2382,02130
340257,7224,13,68,1836,02130
340258,7225,33,241,6604,02130
340259,8111,8,29,1276,02130
340260,8121,5,28,722,02130
340261,8131,10,39,853,02130
340262,8134,5,17,232,02130
340263,8139,11,25,888,02130
340264,5411,34,177,10400,02090
340265,5412,43,206,10881,02090
340266,5413,53,390,34585,02090
340267,5415,24,134,10737,02090
340268,5416,29,125,6298,02090
340269,5417,9,53,3041,02090
340270,5418,4,13,595,02090
340271,5419,20,173,7068,02090
340272,5511,11,133,8306,02090
340273,5612,9,292,21825,02090
340274,5611,8,62,5385,02090
340275,5613,7,193,5356,02090
340276,5614,10,30,1249,02090
340277,5615,12,135,5161,02090
340278,1141,6,0,143,02170
340279,1152,3,27,241,02170
340280,2122,3,22,1322,02170
340281,2211,3,145,14047,02170
340282,2361,99,274,13579,02170
340283,2362,32,401,36896,02170
340284,2371,17,101,11855,02170
340285,5616,5,33,1351,02090
340286,5617,53,283,6677,02090
340287,5619,6,25,1439,02090
340288,5629,12,67,3903,02090
340289,5621,3,42,2665,02090
340290,6111,5,107,3673,02090
340291,6115,8,33,1819,02090
340292,6116,23,146,3597,02090
340293,6211,59,690,67702,02090
340294,6212,47,347,22532,02090
340295,6213,68,364,18523,02090
340296,2372,3,3,349,02170
340297,2373,12,139,14349,02170
340298,2379,4,27,3499,02170
340299,2381,85,229,17322,02170
340300,2382,100,567,38601,02170
340301,2383,80,247,13890,02170
340302,2389,50,362,24942,02170
340303,3121,5,11,770,02170
340304,3219,5,23,804,02170
340305,3261,4,41,1927,02170
340306,3273,3,18,2498,02170
340307,3327,4,34,1366,02170
340308,3329,3,8,265,02170
340309,6214,20,1169,80515,02090
340310,3371,3,7,205,02170
340311,6215,6,24,2606,02090
340312,6219,4,33,2476,02090
340313,6232,20,804,24801,02090
340314,6233,10,96,2490,02090
340315,6239,3,13,408,02090
340316,6241,33,371,15370,02090
340317,6242,7,128,4672,02090
340318,6244,23,262,7314,02090
340319,7111,4,8,365,02090
340320,7112,3,6,203,02090
340321,7113,5,169,1675,02090
340322,7115,6,13,431,02090
340323,7121,7,20,528,02090
340324,7132,10,102,1957,02090
340325,7139,42,323,4559,02090
340326,4231,3,9,445,02170
340327,4233,6,41,1941,02170
340328,4236,4,11,778,02170
340329,4237,3,32,1895,02170
340330,4246,3,8,449,02170
340331,4238,6,16,1090,02170
340332,4244,4,20,369,02170
340333,4249,4,6,182,02170
340334,4251,5,8,341,02170
340335,4411,5,229,12784,02170
340336,4412,16,78,3783,02170
340337,4413,16,117,5449,02170
340338,4421,6,18,695,02170
340339,4422,14,42,1969,02170
340340,4431,7,40,1553,02170
340341,4441,25,610,20109,02170
340342,4442,8,20,570,02170
340343,4451,10,533,17025,02170
340344,4452,4,33,846,02170
340345,4453,12,78,2043,02170
340346,4461,10,150,6554,02170
340347,7211,32,646,30003,02090
340348,7223,22,222,4589,02090
340349,7224,20,169,2474,02090
340350,7225,146,1845,42513,02090
340351,8111,62,386,18413,02090
340352,8113,15,44,3152,02090
340353,8114,7,12,451,02090
340354,8121,32,157,4393,02090
340355,8122,4,14,479,02090
340356,8123,6,26,762,02090
340357,8129,6,47,1062,02090
340358,8131,49,330,8135,02090
340359,8132,8,30,1600,02090
340360,8133,11,36,1681,02090
340361,8134,16,68,1587,02090
340362,8139,17,52,2754,02090
340363,4471,16,191,6145,02170
340364,4481,8,25,513,02170
340365,4482,3,12,280,02170
340366,4511,14,126,2046,02170
340367,4512,3,12,105,02170
340368,4523,7,1034,31495,02170
340369,4532,17,51,1488,02170
340370,4533,7,69,2007,02170
340371,4539,34,155,6042,02170
340372,4541,8,9,478,02170
340373,4543,13,55,2348,02170
340374,4812,10,68,6365,02170
340375,4841,11,40,2849,02170
340376,4842,12,50,3900,02170
340377,4854,5,42,859,02170
340378,4872,4,5,682,02170
340379,4879,4,40,3378,02170
340380,2211,4,12,577,02164
340381,3117,3,45,3407,02164
340382,4451,4,9,311,02164
340383,2361,5,5,251,02180
340384,4812,3,27,1387,02164
340385,7139,3,0,384,02164
340386,7212,10,17,4164,02164
340387,2122,3,14,2979,02180
340388,2373,3,7,3082,02180
340389,4451,17,313,5376,02180
340390,4523,3,38,739,02180
340391,4811,6,190,15125,02180
340392,5151,3,13,472,02180
340393,5311,6,14,693,02180
340394,6213,3,6,499,02180
340395,6214,14,166,10688,02180
340396,6239,3,46,887,02180
340397,6242,3,23,537,02180
340398,7132,6,46,366,02180
340399,7211,3,38,1895,02180
340400,7224,3,23,448,02180
340401,7225,11,70,1529,02180
340402,8111,3,25,1248,02180
340403,8131,3,12,38,02180
340404,4881,13,42,1321,02170
340405,4883,3,41,2388,02170
340406,4884,6,12,743,02170
340407,4921,7,42,2096,02170
340408,5151,4,18,975,02170
340409,5173,20,289,26469,02170
340410,5174,5,55,2754,02170
340411,5221,24,322,16887,02170
340412,5222,9,34,2293,02170
340413,5231,3,1,264,02170
340414,5239,12,23,2713,02170
340415,5241,4,14,754,02170
340416,5242,28,119,6696,02170
340417,5311,26,52,1619,02170
340418,5312,28,75,2303,02170
340419,5313,8,25,1230,02170
340420,1141,6,1,75,02100
340421,2373,3,31,11119,02100
340422,2381,5,5,135,02100
340423,2389,3,6,314,02100
340424,3117,3,11,2967,02100
340425,4441,3,14,820,02100
340426,4451,4,58,2128,02100
340427,4532,3,1,70,02100
340428,4872,4,0,542,02100
340429,5311,3,4,60,02100
340430,5416,3,3,128,02100
340431,7139,12,30,2233,02100
340432,7212,3,0,403,02100
340433,7211,6,39,612,02100
340434,7225,10,33,954,02100
340435,8133,3,4,89,02100
340436,5323,5,16,747,02170
340437,5322,5,35,634,02170
340438,5324,6,19,1330,02170
340439,5411,16,63,3365,02170
340440,5412,42,135,4628,02170
340441,5413,43,182,13184,02170
340442,5414,4,15,661,02170
340443,5415,15,76,8410,02170
340444,5416,28,109,7653,02170
340445,5418,3,2,125,02170
340446,5419,13,101,5237,02170
340447,5511,4,50,5135,02170
340448,5611,9,23,2006,02170
340449,5613,4,117,3425,02170
340450,5614,11,42,978,02170
340451,5615,13,29,1968,02170
340452,5617,62,334,10549,02170
340453,7211,4,8,518,02282
340454,5619,5,9,548,02170
340455,5621,4,57,2633,02170
340456,5629,12,37,2658,02170
340457,6111,5,48,1072,02170
340458,6116,19,164,3266,02170
340459,6211,70,513,51198,02170
340460,6212,43,345,19224,02170
340461,6213,80,473,24798,02170
340462,6214,16,357,16486,02170
340463,6215,12,62,3179,02170
340464,6216,5,314,7688,02170
340465,2122,5,10,962,02290
340466,2211,4,16,717,02290
340467,2361,4,12,375,02290
340468,4247,3,29,1483,02290
340469,4451,11,71,849,02290
340470,4471,10,36,825,02290
340471,4523,3,15,311,02290
340472,4543,6,19,350,02290
340473,4812,3,16,658,02290
340474,5151,3,9,248,02290
340475,6214,4,6,313,02290
340476,7211,5,12,170,02290
340477,6232,27,183,6066,02170
340478,6233,20,201,4409,02170
340479,6239,5,204,3891,02170
340480,6241,24,706,19045,02170
340481,6242,6,29,1467,02170
340482,6244,26,299,6439,02170
340483,7112,4,7,251,02170
340484,7115,9,14,456,02170
340485,7121,4,9,387,02170
340486,7132,3,16,398,02170
340487,7139,47,293,7410,02170
340488,7211,43,359,16178,02170
340489,7212,16,18,1061,02170
340490,7223,19,11,434,02170
340491,1141,18,2,475,02110
340492,2211,8,87,8079,02110
340493,2122,6,332,50321,02240
340494,2211,4,28,2228,02240
340495,2361,3,1,115,02240
340496,4413,3,12,320,02240
340497,4441,3,17,681,02240
340498,4451,3,78,2535,02240
340499,4453,3,14,492,02240
340500,4471,7,50,1560,02240
340501,4532,6,11,423,02240
340502,4812,4,17,1020,02240
340503,5173,7,12,693,02240
340504,5221,3,16,692,02240
340505,5413,5,19,1203,02240
340506,6212,3,21,1139,02240
340507,7139,4,0,126,02240
340508,7224,14,119,2389,02170
340509,7225,150,1769,35870,02170
340510,8111,44,220,11073,02170
340511,8113,5,15,509,02170
340512,8114,7,12,479,02170
340513,8121,24,112,2709,02170
340514,8122,4,11,253,02170
340515,8123,5,15,169,02170
340516,8129,16,70,1052,02170
340517,8131,54,266,5190,02170
340518,8132,7,33,2114,02170
340519,8133,9,53,2556,02170
340520,8134,15,50,1223,02170
340521,8139,7,17,703,02170
340522,7211,11,50,953,02240
340523,7225,9,90,3056,02240
340524,8131,3,8,138,02240
340525,2361,35,139,6597,02110
340526,2362,15,84,7565,02110
340527,2371,4,6,984,02110
340528,2373,7,87,12899,02110
340529,2381,9,25,1588,02110
340530,2382,26,150,10003,02110
340531,2383,12,32,1721,02110
340532,2389,5,6,201,02110
340533,3117,4,59,2118,02110
340534,3121,5,136,8362,02110
340535,3231,5,32,1133,02110
340536,3241,4,11,220,02110
340537,4232,5,14,423,02110
340538,4238,6,43,3593,02110
340539,4247,3,41,2643,02110
340540,4244,7,99,6764,02110
340541,4249,6,40,1390,02110
340542,4411,4,82,4140,02110
340543,4413,4,41,1619,02110
340544,1141,34,8,2247,02020
340545,2111,14,1339,289691,02020
340546,2122,9,15,3859,02020
340547,2131,34,3186,321326,02020
340548,2123,6,30,3059,02020
340549,2211,14,447,48402,02020
340550,2212,3,184,22405,02020
340551,2361,150,541,35352,02020
340552,2362,130,1982,206290,02020
340553,4421,3,24,811,02110
340554,4422,6,11,477,02110
340555,4431,3,8,379,02110
340556,4441,12,204,6551,02110
340557,4451,9,419,11327,02110
340558,4452,3,0,33,02110
340559,4453,5,40,1365,02110
340560,4461,6,33,1489,02110
340561,4471,5,28,1185,02110
340562,4481,10,87,1505,02110
340563,4483,9,8,816,02110
340564,4511,12,98,1644,02110
340565,4523,7,331,13478,02110
340566,4531,3,10,139,02110
340567,4532,16,78,3277,02110
340568,4533,9,55,1122,02110
340569,4539,7,30,866,02110
340570,4543,7,29,1086,02110
340571,4811,3,260,12434,02110
340572,4831,9,31,2018,02110
340573,4842,4,54,2106,02110
340574,4859,3,21,542,02110
340575,4871,4,61,4844,02110
340576,2371,34,1528,171667,02020
340577,2373,26,571,88781,02020
340578,2379,10,123,15128,02020
340579,2381,92,413,34424,02020
340580,2382,189,1849,156870,02020
340581,2383,180,591,31462,02020
340582,4872,14,75,8211,02110
340583,4879,6,50,7124,02110
340584,4883,5,5,1200,02110
340585,4881,3,54,3179,02110
340586,4921,3,20,1056,02110
340587,5111,3,21,517,02110
340588,5121,4,51,410,02110
340589,5173,16,111,9355,02110
