Naics,Establishments,Employees,Payroll,fips
2362,39,1074,72406,31109
2371,25,449,30801,31109
2372,6,49,1861,31109
2373,14,264,22478,31109
2379,5,504,29442,31109
2381,212,1467,77000,31109
2382,223,2500,141443,31109
2361,3,8,250,31163
2382,3,10,339,31163
4441,3,9,184,31163
4442,5,38,1774,31163
4471,3,30,520,31163
4841,4,3,39,31163
4842,5,11,370,31163
8134,6,20,298,31001
7225,4,16,193,31163
8131,6,13,156,31163
2383,233,971,41441,31109
2389,88,576,32249,31109
3111,8,185,9075,31109
3112,4,371,23065,31109
3116,7,1186,47264,31109
3118,12,156,3126,31109
3121,10,100,2083,31109
3219,7,69,2345,31109
3222,3,197,9060,31109
3231,27,333,13853,31109
3251,3,56,5081,31109
3254,4,1027,87319,31109
3255,3,39,1568,31109
2382,8,27,752,31129
4238,3,28,1505,31129
4245,3,16,1037,31129
4249,7,50,1837,31129
4471,6,46,1080,31129
4841,3,2,54,31129
4842,9,21,679,31129
5221,6,61,3045,31129
5242,6,9,398,31129
5412,4,18,463,31129
5617,5,18,658,31129
3261,13,1000,51332,31109
3262,3,510,24058,31109
3271,3,100,5420,31109
3273,9,246,14530,31109
3323,10,284,17647,31109
3327,12,407,18195,31109
3331,3,19,1177,31109
3328,3,540,33714,31109
3332,5,130,5140,31109
3335,3,94,4250,31109
3339,3,45,2836,31109
3342,3,277,11387,31109
3344,3,794,43499,31109
3345,5,671,51962,31109
3359,3,454,20856,31109
3363,7,357,15836,31109
3365,3,518,23972,31109
3369,3,903,47982,31109
3372,5,27,879,31109
3371,5,38,1693,31109
3391,8,113,5291,31109
3399,9,153,6571,31109
4231,21,350,19853,31109
4232,10,86,4053,31109
4233,24,256,17388,31109
6213,3,9,340,31129
7139,3,21,195,31129
7225,9,35,360,31129
8111,10,12,401,31129
8131,7,12,167,31129
4234,34,361,23365,31109
4236,30,314,17506,31109
4237,22,164,9133,31109
4238,49,633,35973,31109
4239,10,123,6033,31109
4241,6,26,1619,31109
4242,9,38,2819,31109
4244,21,987,63548,31109
4245,15,94,5631,31109
4246,11,75,4379,31109
4247,7,70,5244,31109
4248,4,100,3925,31109
4249,26,236,15075,31109
4238,3,62,2758,31149
4842,4,8,238,31149
4251,21,90,4588,31109
4411,57,1347,75956,31109
4412,10,146,7416,31109
4413,63,591,18567,31109
4421,15,129,5474,31109
4422,31,283,8744,31109
4431,23,257,9295,31109
4441,61,1682,48785,31109
4451,4,19,275,31063
4471,4,34,813,31063
5221,4,28,2298,31063
5242,3,8,230,31063
7225,3,28,164,31063
4442,17,185,5304,31109
4451,59,4093,75826,31109
4452,17,114,2262,31109
4453,21,119,2502,31109
4461,95,1086,37717,31109
4471,109,1141,25130,31109
8111,4,20,758,31063
8131,5,9,142,31063
1151,3,42,1165,31089
2361,7,12,146,31089
4481,82,1068,15470,31109
2371,6,85,4820,31089
2382,16,47,1975,31089
2383,3,4,105,31089
