Naics,Establishments,Employees,Payroll
813910,198,1103,78184
811192,349,3849,110693
812220,38,368,16326
813410,350,2959,90854
812310,103,487,11719
811310,336,3405,212785
811213,30,287,10536
811212,95,510,27986
811211,31,297,9976
812191,61,179,6087
812320,238,2018,68222
813312,139,1448,61609
811430,10,15,439
812210,133,1130,45855
811111,1607,8752,414515
813211,154,1106,91817
811411,10,23,580
813311,50,493,20909
812332,23,940,43322
813930,83,758,24808
812331,10,588,27015
812113,588,2924,88549
811118,76,425,21108
811219,58,436,31953
813219,67,586,41332
811490,229,668,27222
812199,539,3409,109018
813990,216,3716,133994
813319,83,1814,74463
812930,138,1339,35339
812910,454,2563,79471
812921,3,138,6270
813940,44,112,7379
813920,102,1436,75567
813110,2232,19837,562870
811420,56,211,6971
813212,87,803,48176
