,fips,relevant_naics,estab,emp,payann
41996,06,522293,52,208,6151
41997,06,522294,37,186,27610
41998,06,522298,782,5680,500663
41999,06,522310,2224,11178,887640
42000,06,522320,661,21460,5247609
42001,06,523110,505,5428,2089537
42002,06,523130,136,916,66236
42003,06,523210,4,43,9214
42004,06,522390,2133,13906,938792
42005,06,523120,2909,26218,5731688
42006,06,523140,74,287,32597
42007,06,541320,923,5753,383982
42008,06,523910,1455,9444,2310627
42009,06,531210,18359,48351,3748301
42010,06,523920,4408,40184,12265541
42011,06,524128,55,1016,153025
42012,06,524130,44,742,103028
42013,06,523930,3132,11645,1573071
42014,06,523991,508,2962,209450
42015,06,523999,74,438,31260
42016,06,531320,1087,4146,266715
42017,06,524113,589,13551,1708599
42018,06,525910,19,125,25127
42019,06,524114,650,58516,5790106
42020,06,525990,188,918,140612
42021,06,524126,1009,37210,3672762
42022,06,524127,714,9274,1141779
42023,06,524210,14584,79570,6278350
42024,06,524291,337,4106,299369
42025,06,524292,758,24768,1987557
42026,06,524298,250,3270,256675
42027,06,531110,9798,44641,2170478
42028,06,531312,2916,23637,1861459
42029,06,531120,4757,25388,2307732
42030,06,531130,2198,6995,243886
42031,06,531390,3460,15312,1487387
42032,06,531190,1521,5746,225380
42033,06,531311,8181,66908,3169497
42034,06,532111,1312,13666,591166
42035,06,532112,43,378,39019
42036,06,532420,104,1257,110526
42037,06,532120,580,6345,349434
42038,06,541340,260,924,55331
42039,06,532210,359,1869,99044
42040,06,532281,110,1351,52122
42041,06,541370,480,3156,265522
42042,06,532282,98,425,11692
42043,06,532283,150,2174,117843
42044,06,532284,265,2138,102140
42045,06,532289,583,7140,280368
42046,06,532310,283,1831,92754
42047,06,541410,2217,7255,479444
42048,06,532411,82,580,165046
42049,06,532412,528,5963,457723
42050,06,532490,1451,18011,1153916
42051,06,533110,324,4228,533667
42052,06,541110,22334,138353,15521983
42053,06,541191,368,3638,308265
42054,06,541199,801,5125,321788
42055,06,541211,7343,58800,5138629
42056,06,541213,4335,19949,336208
42057,06,541214,619,39129,2769839
42058,06,541219,5491,27310,1359191
42059,06,541310,3457,28316,2628432
42060,06,541430,2524,9415,645824
42061,06,541330,8960,128669,13357859
42062,06,541350,838,2657,150786
42063,06,541360,46,331,26528
42064,06,541380,918,17049,1212106
42065,06,541420,352,3236,301299
42066,06,541490,657,2438,180902
42067,06,541511,10809,153285,21304344
42068,06,541512,8122,96822,12657977
42069,06,541513,668,9930,830891
42070,06,541519,1144,11443,1466549
42071,06,541611,11430,68385,7402377
42072,06,541612,1300,12508,999520
42073,06,541613,6688,31505,2775241
42074,06,541614,1076,6932,489350
42075,06,541618,613,3023,588781
42076,06,541720,286,5349,471503
42077,06,541620,1582,13822,1032906
42078,06,541690,4987,22668,1928490
42079,06,541820,1494,8636,826249
42080,06,541713,665,32141,4914456
42081,06,541714,1135,36218,7715332
42082,06,541715,2055,82065,13175795
42083,06,541810,2186,27874,2949922
42084,06,541830,218,4485,449398
42085,06,541840,196,2328,259744
42086,06,541850,307,4696,190182
42087,06,541870,163,2226,149016
42088,06,541890,830,22256,633309
42089,06,541940,3117,38669,1739032
42090,06,561450,60,3133,585580
42091,06,541922,686,1693,91217
42092,06,541860,288,4068,255874
42093,06,541910,866,13567,1243172
42094,06,541921,1152,5210,130508
42095,06,541930,504,6643,267267
42096,06,541990,2714,11740,941931
42097,06,551111,23,155,33836
42098,06,551112,516,9288,1748094
42099,06,561591,84,1137,90156
42100,06,551114,4703,353427,52368652
42101,06,561110,4815,64402,4496577
42102,06,561210,605,19386,904882
42103,06,561311,894,28608,952719
42104,06,561312,770,3963,524121
42105,06,561320,4146,593067,26656963
42106,06,561330,379,335302,23844069
42107,06,561410,533,8527,180527
42108,06,561421,142,2023,62086
42109,06,561422,380,19513,658853
42110,06,561599,481,14074,1391580
42111,06,561431,865,3766,98605
42112,06,561439,929,7614,324345
42113,06,561440,375,7970,381666
42114,06,561491,95,982,36371
42115,06,561492,384,1940,113672
42116,06,561499,422,5425,542923
42117,06,561510,1775,12042,782205
42118,06,561520,471,3945,210664
42119,06,561611,643,7055,303985
42120,06,561612,1797,136795,3826720
42121,06,561613,76,3615,143202
42122,06,561790,1745,8547,320975
42123,06,561621,778,13149,722140
42124,06,561622,479,2075,90562
42125,06,561920,932,12618,593811
42126,06,561710,1798,16926,815431
42127,06,561720,5730,119258,3041998
42128,06,611410,11,247,6956
42129,06,561730,8620,88442,3388921
42130,06,561740,792,4228,141432
42131,06,562212,91,1546,103619
42132,06,561910,272,3315,148200
42133,06,561990,1291,16468,727900
