StateCode,State,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
HI,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,514.0,517.0,510.0,505.0,539.0,559.0,584.0,605.0,622.0,642.0,659.0,684.0,682.0,700.0,704.0,710.0,723.0,734.0,750.0,769.91,801.64,828.33,851.6,867.98,886.16,904.19,918.26,931.58,953.31,964.69,978.2,993.78,1012.72,1027.92,1039.7,1051.76,1067.92,1079.83,1094.59,1112.7,1131.41,1149.93,1161.51,1173.9,1180.49,1184.43,1189.32,1190.47,1185.5,1213.52,1225.95,1239.61,1251.15,1273.57,1292.73,1309.73,1315.68,1332.21,1346.72,1364.0,1379.56,1395.2,1408.82,1415.34,1423.0,1428.88,1425.76,1423.1,1415.62,1407.01,1441.55,1440.2
ID,Idaho,163.0,176.0,199.0,216.0,229.0,246.0,262.0,277.0,291.0,311.0,329.0,343.0,359.0,371.0,384.0,394.0,405.0,413.0,405.0,424.0,433.0,435.0,436.0,436.0,434.0,436.0,441.0,447.0,449.0,447.0,447.0,454.0,459.0,464.0,473.0,481.0,495.0,507.0,513.0,521.0,522.0,501.0,478.0,500.0,529.0,507.0,509.0,522.0,551.0,570.0,590.0,589.0,587.0,596.0,600.0,618.0,628.0,642.0,646.0,657.0,671.0,684.0,692.0,683.0,680.0,686.0,689.0,688.0,695.0,707.0,713.02,738.75,763.24,782.07,807.99,831.98,856.98,883.47,910.69,932.63,943.94,962.2,973.72,981.87,990.84,994.05,990.22,985.0,985.66,994.42,1011.88,1038.92,1066.49,1101.2,1135.46,1165.0,1187.71,1210.64,1230.92,1251.7,1299.43,1319.96,1340.37,1363.38,1391.8,1428.24,1468.67,1505.1,1534.32,1554.44,1570.82,1584.27,1595.91,1612.05,1632.25,1652.5,1684.04,1719.74,1752.07,1789.06,1826.91,1900.92,1939.03
IL,Illinois,4828.0,4914.0,4992.0,5071.0,5161.0,5241.0,5309.0,5384.0,5474.0,5567.0,5668.0,5757.0,5828.0,5961.0,6109.0,6194.0,6274.0,6313.0,6275.0,6392.0,6663.0,6858.0,6958.0,7068.0,7215.0,7306.0,7395.0,7519.0,7576.0,7606.0,7644.0,7687.0,7736.0,7768.0,7772.0,7797.0,7840.0,7857.0,7866.0,7890.0,7905.0,7995.0,8057.0,7761.0,7719.0,7601.0,8155.0,8341.0,8552.0,8670.0,8738.0,8790.0,8956.0,9065.0,9252.0,9435.0,9530.0,9668.0,9886.0,9986.0,10086.0,10130.0,10280.0,10402.0,10580.0,10693.0,10836.0,10947.0,10995.0,11039.0,11110.28,11202.4,11251.95,11251.37,11262.14,11291.74,11342.85,11386.32,11412.56,11396.84,11426.52,11443.46,11423.41,11408.82,11412.13,11399.81,11387.26,11391.18,11390.18,11409.78,11446.98,11535.97,11635.2,11725.98,11804.99,11884.94,11953.0,12011.51,12069.77,12128.37,12434.16,12488.44,12525.56,12556.01,12589.77,12609.9,12643.96,12695.87,12747.04,12796.78,12840.54,12867.78,12883.03,12895.78,12885.09,12859.58,12821.71,12779.89,12724.68,12667.02,12587.53,12671.47,12582.03
IN,Indiana,2518.0,2541.0,2567.0,2594.0,2614.0,2635.0,2663.0,2679.0,2677.0,2678.0,2713.0,2751.0,2785.0,2824.0,2857.0,2873.0,2897.0,2910.0,2880.0,2906.0,2947.0,2976.0,2965.0,3042.0,3086.0,3119.0,3148.0,3191.0,3212.0,3226.0,3242.0,3257.0,3281.0,3304.0,3319.0,3332.0,3348.0,3374.0,3386.0,3403.0,3433.0,3483.0,3507.0,3449.0,3440.0,3427.0,3702.0,3779.0,3877.0,3958.0,3967.0,4096.0,4148.0,4182.0,4264.0,4363.0,4458.0,4529.0,4583.0,4613.0,4674.0,4730.0,4736.0,4799.0,4856.0,4922.0,4999.0,5053.0,5093.0,5143.0,5195.39,5253.4,5302.44,5338.28,5361.89,5365.77,5389.09,5425.64,5470.21,5501.17,5490.22,5480.44,5467.92,5450.4,5458.32,5459.21,5454.11,5473.01,5491.74,5523.69,5555.1,5602.06,5648.65,5701.96,5745.63,5791.82,5834.91,5872.37,5907.62,5942.9,6091.87,6127.76,6155.97,6196.64,6233.01,6278.62,6332.67,6379.6,6424.81,6459.32,6490.56,6517.25,6538.99,6570.58,6596.02,6611.44,6637.9,6662.07,6698.48,6731.01,6754.95,6805.98,6833.04
IA,Iowa,2231.0,2227.0,2222.0,2217.0,2212.0,2211.0,2214.0,2217.0,2220.0,2223.0,2228.0,2249.0,2279.0,2305.0,2338.0,2366.0,2376.0,2382.0,2351.0,2379.0,2400.0,2407.0,2428.0,2425.0,2420.0,2427.0,2432.0,2441.0,2450.0,2460.0,2475.0,2482.0,2489.0,2495.0,2510.0,2524.0,2509.0,2498.0,2494.0,2520.0,2537.0,2491.0,2439.0,2334.0,2301.0,2308.0,2467.0,2509.0,2543.0,2578.0,2625.0,2617.0,2626.0,2629.0,2626.0,2679.0,2703.0,2716.0,2708.0,2729.0,2756.0,2756.0,2750.0,2747.0,2746.0,2742.0,2762.0,2793.0,2803.0,2805.0,2825.37,2851.7,2860.29,2863.72,2867.53,2880.85,2903.08,2913.57,2918.07,2915.74,2913.81,2907.98,2888.19,2870.54,2858.62,2829.68,2791.97,2767.01,2768.39,2770.59,2779.77,2791.23,2806.92,2820.52,2829.42,2840.86,2848.47,2854.4,2861.02,2869.41,2929.07,2932.0,2934.23,2942.0,2953.64,2964.45,2982.64,2999.21,3016.73,3032.87,3050.82,3066.77,3076.84,3093.94,3110.64,3122.54,3133.21,3143.73,3149.9,3159.6,3163.56,3193.08,3200.52
KS,Kansas,1473.0,1490.0,1505.0,1498.0,1527.0,1555.0,1576.0,1612.0,1629.0,1658.0,1692.0,1684.0,1671.0,1663.0,1662.0,1687.0,1727.0,1748.0,1729.0,1756.0,1769.0,1779.0,1799.0,1808.0,1807.0,1825.0,1836.0,1836.0,1850.0,1867.0,1883.0,1881.0,1883.0,1877.0,1868.0,1872.0,1869.0,1856.0,1842.0,1824.0,1788.0,1765.0,1760.0,1796.0,1779.0,1731.0,1805.0,1853.0,1892.0,1925.0,1916.0,1950.0,1977.0,1994.0,2042.0,2093.0,2119.0,2128.0,2142.0,2160.0,2183.0,2215.0,2231.0,2217.0,2209.0,2206.0,2200.0,2197.0,2216.0,2236.0,2249.07,2246.6,2256.38,2265.6,2269.5,2280.58,2301.0,2320.65,2335.66,2350.91,2363.68,2384.85,2401.2,2415.53,2424.09,2427.41,2432.62,2445.37,2462.0,2472.85,2480.68,2495.21,2526.04,2547.6,2569.12,2586.94,2598.27,2616.34,2638.67,2654.05,2693.68,2702.16,2713.54,2723.0,2734.37,2745.3,2762.93,2783.78,2808.08,2832.7,2858.27,2869.68,2886.02,2894.31,2901.86,2910.72,2912.98,2910.89,2912.75,2912.64,2913.8,2934.58,2937.15
KY,Kentucky,2148.0,2162.0,2177.0,2191.0,2205.0,2220.0,2234.0,2249.0,2263.0,2278.0,2299.0,2324.0,2347.0,2374.0,2395.0,2401.0,2411.0,2421.0,2425.0,2413.0,2421.0,2436.0,2450.0,2480.0,2531.0,2520.0,2545.0,2551.0,2567.0,2606.0,2623.0,2652.0,2676.0,2698.0,2722.0,2748.0,2768.0,2784.0,2800.0,2825.0,2859.0,2824.0,2797.0,2693.0,2631.0,2597.0,2761.0,2803.0,2817.0,2849.0,2936.0,2941.0,2920.0,2903.0,2902.0,2910.0,2898.0,2928.0,2961.0,2999.0,3041.0,3054.0,3079.0,3096.0,3129.0,3140.0,3147.0,3172.0,3195.0,3198.0,3220.71,3298.05,3335.73,3371.02,3416.32,3467.77,3529.26,3573.69,3609.98,3641.8,3660.78,3670.39,3683.44,3694.48,3695.45,3694.83,3687.81,3683.33,3680.0,3677.31,3692.58,3714.69,3756.36,3792.29,3823.22,3855.25,3881.05,3907.82,3934.31,3960.82,4049.02,4068.13,4089.88,4117.17,4146.1,4182.74,4219.24,4256.67,4289.88,4317.07,4348.46,4370.82,4387.86,4406.91,4416.99,4429.13,4440.31,4455.59,4464.27,4472.34,4477.25,4509.39,4512.31
LA,Louisiana,1384.0,1412.0,1440.0,1467.0,1495.0,1523.0,1551.0,1579.0,1607.0,1634.0,1667.0,1695.0,1709.0,1727.0,1740.0,1755.0,1799.0,1795.0,1746.0,1756.0,1813.0,1847.0,1871.0,1903.0,1939.0,1972.0,2005.0,2039.0,2064.0,2086.0,2105.0,2124.0,2155.0,2178.0,2202.0,2228.0,2246.0,2257.0,2285.0,2334.0,2370.0,2484.0,2546.0,2565.0,2508.0,2429.0,2556.0,2579.0,2596.0,2634.0,2697.0,2769.0,2842.0,2866.0,2883.0,2946.0,3032.0,3115.0,3155.0,3208.0,3260.0,3287.0,3345.0,3377.0,3446.0,3496.0,3550.0,3581.0,3603.0,3619.0,3644.64,3710.49,3761.65,3788.38,3820.11,3886.1,3950.6,4014.46,4068.58,4137.66,4205.9,4283.3,4352.61,4395.32,4400.48,4408.12,4406.92,4344.15,4288.86,4252.89,4219.18,4240.95,4270.85,4284.75,4306.5,4327.98,4338.76,4351.39,4362.76,4372.04,4471.88,4477.88,4497.27,4521.04,4552.24,4576.63,4302.66,4375.58,4435.59,4491.65,4544.64,4576.24,4602.07,4626.04,4645.94,4667.0,4681.35,4673.67,4664.45,4658.28,4645.32,4624.05,4590.24
ME,Maine,695.0,699.0,703.0,709.0,719.0,723.0,729.0,731.0,735.0,740.0,745.0,751.0,753.0,763.0,772.0,774.0,775.0,777.0,760.0,762.0,771.0,775.0,778.0,781.0,788.0,792.0,793.0,796.0,797.0,797.0,800.0,807.0,815.0,821.0,829.0,836.0,840.0,842.0,843.0,846.0,849.0,852.0,839.0,806.0,801.0,800.0,832.0,854.0,878.0,903.0,917.0,916.0,915.0,913.0,927.0,934.0,938.0,943.0,944.0,957.0,975.0,995.0,994.0,993.0,993.0,997.0,999.0,1004.0,994.0,992.0,993.72,1015.39,1034.29,1045.66,1059.04,1071.99,1088.41,1103.58,1113.57,1122.56,1124.66,1133.03,1136.68,1144.77,1155.64,1162.94,1170.13,1184.57,1203.84,1219.96,1231.3,1235.44,1235.75,1238.26,1237.69,1237.44,1241.44,1245.21,1247.55,1253.04,1277.07,1285.69,1295.96,1306.51,1313.69,1318.79,1323.62,1327.04,1330.51,1329.59,1327.65,1328.47,1328.09,1328.54,1331.22,1329.1,1332.35,1335.74,1340.12,1345.77,1350.14,1372.25,1385.34
MD,Maryland,1189.0,1200.0,1210.0,1209.0,1217.0,1237.0,1251.0,1257.0,1269.0,1289.0,1302.0,1324.0,1345.0,1368.0,1389.0,1401.0,1415.0,1428.0,1467.0,1445.0,1464.0,1492.0,1509.0,1521.0,1537.0,1556.0,1576.0,1599.0,1610.0,1621.0,1636.0,1657.0,1678.0,1694.0,1710.0,1729.0,1745.0,1754.0,1766.0,1793.0,1839.0,1913.0,1998.0,2089.0,2118.0,2096.0,2214.0,2248.0,2271.0,2329.0,2355.0,2441.0,2500.0,2567.0,2685.0,2742.0,2811.0,2873.0,2982.0,3066.0,3113.0,3176.0,3263.0,3386.0,3492.0,3600.0,3695.0,3757.0,3815.0,3868.0,3923.9,4018.32,4073.5,4097.97,4118.81,4139.1,4150.54,4169.6,4183.6,4191.16,4216.98,4261.9,4282.92,4313.33,4365.24,4413.07,4486.96,4565.56,4657.9,4727.3,4797.43,4856.18,4902.54,4942.5,4985.41,5023.65,5057.14,5092.91,5130.07,5171.63,5311.03,5374.69,5440.39,5496.27,5546.94,5592.38,5627.37,5653.41,5684.96,5730.39,5788.78,5840.24,5888.38,5925.2,5960.06,5988.53,6007.01,6028.19,6042.15,6054.95,6055.8,6165.13,6164.66
MA,Massachusetts,2788.0,2794.0,2856.0,2924.0,2969.0,3018.0,3107.0,3183.0,3251.0,3316.0,3365.0,3383.0,3440.0,3534.0,3636.0,3705.0,3726.0,3738.0,3695.0,3785.0,3882.0,3951.0,4010.0,4057.0,4102.0,4154.0,4194.0,4223.0,4217.0,4229.0,4250.0,4248.0,4259.0,4282.0,4305.0,4343.0,4355.0,4358.0,4365.0,4347.0,4318.0,4389.0,4370.0,4257.0,4192.0,4201.0,4494.0,4580.0,4674.0,4741.0,4686.0,4654.0,4650.0,4806.0,4910.0,4882.0,4891.0,4929.0,5010.0,5117.0,5160.0,5219.0,5263.0,5344.0,5448.0,5502.0,5535.0,5594.0,5618.0,5650.0,5689.17,5737.58,5760.3,5781.17,5773.55,5757.76,5743.67,5738.2,5736.47,5738.4,5737.04,5768.68,5771.22,5799.41,5840.77,5880.73,5902.68,5935.2,5979.98,6015.48,6018.66,5998.65,5993.47,6010.88,6031.35,6062.34,6085.39,6115.48,6144.41,6175.17,6361.1,6397.63,6417.21,6422.56,6412.28,6403.29,6410.08,6431.56,6468.97,6517.61,6566.44,6614.22,6664.27,6715.16,6764.86,6797.48,6827.28,6863.56,6885.72,6894.88,6893.57,6984.72,6981.97
MI,Michigan,2423.0,2450.0,2477.0,2505.0,2534.0,2579.0,2626.0,2693.0,2722.0,2771.0,2832.0,2916.0,2997.0,3101.0,3183.0,3263.0,3353.0,3451.0,3499.0,3591.0,3723.0,3872.0,3942.0,4063.0,4214.0,4331.0,4451.0,4589.0,4665.0,4795.0,4834.0,4798.0,4780.0,4780.0,4798.0,4838.0,4889.0,4968.0,5056.0,5156.0,5315.0,5472.0,5549.0,5405.0,5467.0,5475.0,5874.0,6076.0,6213.0,6332.0,6407.0,6497.0,6650.0,6822.0,7066.0,7285.0,7467.0,7569.0,7667.0,7767.0,7834.0,7893.0,7933.0,8058.0,8187.0,8357.0,8512.0,8630.0,8696.0,8781.0,8881.83,8974.19,9028.94,9077.96,9117.51,9117.67,9129.2,9171.11,9217.76,9266.27,9262.08,9209.29,9115.2,9047.75,9049.45,9076.29,9127.78,9187.48,9218.0,9253.3,9310.46,9395.02,9470.32,9529.24,9584.48,9659.87,9739.18,9785.45,9820.23,9863.78,9952.45,9991.12,10015.71,10041.15,10055.32,10051.14,10036.08,10001.28,9946.89,9901.59,9877.6,9883.05,9898.29,9914.8,9932.03,9934.48,9954.12,9976.75,9987.29,9984.8,9966.56,10050.81,10034.11
