,fips,relevant_naics,estab,emp,payann
10114,23,517911,10,77,3562
10115,23,517919,13,82,4221
10116,23,523110,6,0,0
10117,23,523120,78,316,70359
10118,23,531120,161,561,20289
10119,23,541350,33,99,5220
10120,23,541370,99,485,29892
10121,23,423430,24,281,21049
10122,23,423990,42,320,14827
10123,23,424910,20,166,8310
10124,23,424920,9,75,2109
10125,23,424930,13,49,2448
10126,23,442110,95,689,26035
10127,23,448110,19,125,3075
10128,23,485310,39,252,4331
10129,23,485320,12,110,2395
10130,23,531130,64,159,4259
10131,23,531190,49,148,6209
10132,23,541380,34,252,16351
10133,23,541713,15,171,11596
10134,23,541714,10,0,0
10135,23,541715,28,507,41913
10136,23,423440,12,66,2520
10137,23,423450,33,150,11732
10138,23,424950,7,31,1633
10139,23,424990,40,174,7721
10140,23,442210,54,238,8810
10141,23,445120,201,1376,25134
10142,23,448120,116,755,11708
10143,23,452311,38,7177,187845
10144,23,452319,236,2839,52104
10145,23,454310,280,2928,123714
10146,23,485410,25,724,14393
10147,23,485510,4,127,3938
10148,23,518210,68,1496,92036
10149,23,523910,12,34,2647
10150,23,523920,158,867,103393
10151,23,541110,672,3786,261845
10152,23,541410,35,70,2338
10153,23,541720,11,34,1997
10154,23,423460,3,17,330
10155,23,423490,12,0,0
10156,23,423510,19,135,7050
10157,23,424110,4,37,4607
10158,23,424120,16,281,18251
10159,23,442291,16,65,2148
10160,23,442299,123,1039,24182
10161,23,445210,16,124,3271
10162,23,448130,28,255,3988
10163,23,454390,101,348,13585
10164,23,485991,13,313,8077
10165,23,485999,5,28,547
10166,23,523930,73,184,15968
10167,23,531210,583,1057,56660
10168,23,541420,3,3,298
10169,23,541430,73,173,6381
10170,23,541490,15,35,1112
10171,23,541810,40,287,21578
10172,23,541820,24,46,2638
10173,23,424130,13,107,5164
10174,23,424210,31,519,53182
10175,23,425110,5,43,1249
10176,23,425120,122,883,35313
10177,23,445220,53,209,9890
10178,23,445230,8,49,2402
10179,23,448140,140,2486,35989
10180,23,453110,83,306,5068
10181,23,486210,7,0,0
10182,23,511110,57,1301,54228
10183,23,511120,34,417,22979
10184,23,519120,106,483,9614
10185,23,519130,23,118,6923
10186,23,523991,20,313,17074
10187,23,541191,46,209,9465
10188,23,541199,5,5,121
10189,23,541840,3,4,130
10190,23,541850,6,11,429
10191,23,541860,13,70,3168
10192,23,541890,42,421,18712
10193,23,423610,42,404,25702
10194,23,423620,6,10,550
10195,23,424310,3,4,260
10196,23,424320,5,20,393
10197,23,443141,45,337,14042
10198,23,445291,12,85,1325
10199,23,445292,24,65,2159
10200,23,445299,28,118,2406
10201,23,448150,26,169,2847
10202,23,448190,57,554,11476
10203,23,453210,14,364,4799
10204,23,481111,13,282,8478
10205,23,481211,8,206,9943
10206,23,487110,15,23,1646
10207,23,511130,24,143,7188
10208,23,511140,6,26,1531
10209,23,511191,3,0,0
10210,23,511199,6,8,451
10211,23,519190,3,0,0
10212,23,531311,212,1920,60267
10213,23,531312,80,360,17818
10214,23,541511,214,1792,120870
10215,23,423690,28,152,8441
10216,23,424330,9,22,1234
10217,23,424340,6,140,6655
10218,23,443142,81,904,26567
10219,23,453220,234,706,15577
10220,23,483113,3,0,0
10221,23,483114,4,17,659
10222,23,483212,4,20,589
10223,23,487210,44,94,6557
10224,23,511210,42,1087,137561
10225,23,524113,50,5222,394823
10226,23,531320,88,210,10883
10227,23,336611,14,0,0
10228,23,336612,68,1274,57534
10229,23,339113,9,200,6819
10230,23,339115,3,33,966
10231,23,339116,21,103,3561
10232,23,423710,12,304,12639
10233,23,424410,6,721,49074
10234,23,424420,15,115,6252
10235,23,445310,58,375,8341
10236,23,448210,92,747,12809
10237,23,453310,141,913,15547
10238,23,488119,10,304,8052
10239,23,488190,17,199,13302
10240,23,488210,3,0,0
10241,23,524114,32,1456,104612
10242,23,524126,69,1469,119248
10243,23,531390,32,138,9307
10244,23,339910,15,32,1024
10245,23,423720,37,450,25816
10246,23,423730,32,237,16641
10247,23,424430,9,392,10205
10248,23,424450,16,85,3437
10249,23,441110,132,6035,323816
10250,23,444110,30,3050,79233
10251,23,448310,94,493,14880
10252,23,488310,4,0,0
10253,23,488320,3,0,0
10254,23,488330,15,61,4477
10255,23,488390,9,54,2156
10256,23,512110,43,110,5330
10257,23,522110,320,5652,365983
10258,23,524127,3,0,0
10259,23,524130,3,0,0
10260,23,532111,27,198,7202
10261,23,337110,22,148,6264
10262,23,337121,4,23,1099
10263,23,337122,27,255,9350
