Naics,Establishments,Employees,Payroll
721211,50,957,25270
713940,502,8200,90087
722310,319,8589,201541
721110,1118,30254,733635
721214,23,385,7313
721310,26,151,2821
722320,151,1640,31015
722511,4321,97269,1699140
722513,3786,80639,1090232
722514,132,3157,54086
722515,582,7196,93550
811411,40,109,2592
811412,79,321,10392
811111,1028,4975,187463
811112,18,51,1670
811113,69,301,11424
811490,154,462,13094
811118,59,271,9223
811121,473,3219,149126
811122,106,749,26731
811191,130,942,24590
811192,229,2441,43437
811198,72,315,12166
812191,35,234,4526
811211,29,124,3761
811212,63,639,63090
811213,42,192,10197
811219,48,752,41176
812220,70,456,14862
811310,391,3901,202308
812320,267,2002,36522
811420,55,133,3363
811430,7,17,555
812111,58,241,6152
812990,279,690,19017
812112,875,4032,97165
812113,203,630,15762
812199,323,2004,34033
812210,273,2315,70222
812310,93,365,7100
812331,13,483,18818
812332,31,1384,57187
812910,320,1757,37686
812922,3,5,124
812930,31,454,6368
813110,4446,34789,672999
813211,132,493,27801
813410,261,2292,42368
813930,75,395,7484
813940,16,26,1152
813990,155,2689,94610
813212,67,479,22845
813219,60,604,19822
813311,25,123,4986
813312,109,1325,49242
813319,67,289,11248
813910,206,1158,72745
813920,84,646,38495
