,relevant_naics,estab,emp,payann,fips
164945,4451,10,274,5429,23021
164946,4452,3,0,0,23021
164947,4461,5,62,2363,23021
164948,4471,16,155,2349,23021
164949,5313,3,0,0,23021
164950,5411,3,10,294,23021
164951,5617,21,191,2918,23021
164952,6111,3,0,0,23021
164953,1133,14,57,2636,23021
164954,2361,21,43,1351,23021
164955,2373,3,0,0,23021
164956,4523,6,78,2128,23021
164957,4532,3,9,312,23021
164958,4543,6,0,0,23021
164959,6211,6,28,1142,23021
164960,6212,5,44,2525,23021
164961,6213,7,26,651,23021
164962,6214,3,50,1842,23021
164963,6233,3,0,0,23021
164964,6241,4,0,0,23021
164965,5311,64,277,5996,23019
164966,5412,67,316,13247,23019
164967,5511,31,1326,89555,23019
164968,5621,10,52,2143,23019
164969,5629,13,76,2952,23019
164970,6111,6,215,6763,23019
164971,6214,47,1068,53308,23019
164972,6239,11,108,3485,23019
164973,6241,58,1858,47411,23019
164974,7211,46,853,20761,23019
164975,8112,4,14,397,23019
164976,8113,12,48,2146,23019
164977,8114,11,18,389,23019
164978,8134,24,119,2628,23019
164979,8139,18,51,1797,23019
164980,4413,49,583,16704,23019
164981,6244,6,23,538,23021
164982,3118,9,534,24646,23001
164983,4541,10,0,0,23001
164984,4542,5,0,0,23001
164985,4543,18,153,5777,23001
164986,5619,11,34,1204,23001
164987,5621,6,56,1955,23001
164988,5629,11,139,5857,23001
164989,6111,7,221,7593,23001
164990,3121,6,528,31063,23001
164991,3132,6,93,3637,23001
164992,3211,4,50,1835,23001
164993,3219,12,347,14592,23001
164994,3222,4,567,29638,23001
164995,4841,27,711,37343,23001
164996,6116,8,27,162,23001
164997,6211,30,370,39747,23001
164998,3231,13,480,18873,23001
164999,3261,6,626,24649,23001
165000,3262,3,48,3526,23001
165001,3273,4,92,5240,23001
165002,3323,6,170,8029,23001
165003,3327,11,66,3120,23001
165004,4842,21,229,11924,23001
165005,4853,3,0,0,23001
165006,4884,6,32,1139,23001
165007,4921,7,292,14055,23001
165008,6212,25,226,15817,23001
165009,6213,70,472,18326,23001
165010,4421,6,59,2244,23019
165011,4422,22,162,2984,23019
165012,4471,94,1060,20202,23019
165013,4531,9,30,460,23019
165014,4532,17,139,1725,23019
165015,4842,78,623,23579,23019
165016,4853,9,39,770,23019
165017,5221,88,1325,80866,23019
165018,5312,38,96,3474,23019
165019,5313,44,269,8855,23019
165020,5413,52,423,29181,23019
165021,5414,8,29,569,23019
165022,5611,10,49,2250,23019
165023,5613,11,491,16953,23019
165024,5614,14,367,11511,23019
165025,6113,3,0,0,23019
165026,6115,4,81,2287,23019
165027,6116,22,151,1272,23019
165028,6117,6,193,5587,23019
165029,6215,10,171,8313,23019
165030,6216,16,574,17291,23019
165031,6242,7,66,2142,23019
165032,6243,3,159,2083,23019
165033,6244,56,416,8090,23019
165034,7212,15,91,1589,23019
165035,7213,4,6,85,23019
165036,7223,11,148,2753,23019
165037,7224,15,114,1797,23019
165038,8121,35,215,4156,23019
165039,8122,13,65,2378,23019
165040,4431,20,191,4559,23019
165041,3329,3,0,0,23001
165042,3339,3,0,0,23001
165043,3371,4,0,0,23001
165044,3372,3,15,515,23001
165045,3391,4,65,2125,23001
165046,3399,12,197,8657,23001
