	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
285	27	999	Statewide	33	Fastener, button, needle, and pin manufacturing	27	339993	4.0	1.8
293	27	999	Statewide	33	Heavy duty truck manufacturing	27	336120	10.0	3.7777777777777777
295	27	999	Statewide	33	Household refrigerator and home freezer manufacturing	27	335222	3.0	1.2
311	27	999	Statewide	33	Light truck and utility vehicle manufacturing	27	336112	2.0	1.0
315	27	999	Statewide	33	Measuring and dispensing pump manufacturing	27	333913	5.0	2.2
323	27	999	Statewide	33	Metal kitchen cookware, utensil, cutlery, and flatware (except precious) manufacturing	27	332215	3.0	1.2
326	27	999	Statewide	33	Military armored vehicle, tank, and tank component manufacturing	27	336992	2.0	1.0
329	27	999	Statewide	33	Motor home manufacturing	27	336213	2.0	1.0
331	27	999	Statewide	33	Motor vehicle brake system manufacturing	27	336340	4.25	2.2
340	27	999	Statewide	33	Noncurrent-carrying wiring device manufacturing	27	335932	3.0	1.2
341	27	999	Statewide	33	Nonferrous metal (except aluminum) smelting and refining	27	331410	6.0	2.6
349	27	999	Statewide	33	Optical instrument and lens manufacturing	27	333314	7.5	3.3333333333333335
355	27	999	Statewide	33	Other communications equipment manufacturing	27	334290	12.75	5.888888888888889
359	27	999	Statewide	33	Other guided missile and space vehicle parts and auxiliary equipment manufacturing	27	336419	2.0	1.0
362	27	999	Statewide	33	Other major household appliance manufacturing	27	335228	3.0	1.4
372	27	999	Statewide	33	Plumbing fixture fitting and trim manufacturing	27	332913	4.0	1.8
373	27	999	Statewide	33	Powder metallurgy part manufacturing	27	332117	4.0	2.0
376	27	999	Statewide	33	Power-driven handtool manufacturing	27	333991	7.0	2.6
379	27	999	Statewide	33	Primary battery manufacturing	27	335912	2.0	1.0
386	27	999	Statewide	33	Residential electric lighting fixture manufacturing	27	335121	2.5	1.6666666666666667
391	27	999	Statewide	33	Scale and balance manufacturing	27	333997	5.0	2.4
393	27	999	Statewide	33	Secondary smelting and alloying of aluminum	27	331314	2.0	1.0
396	27	999	Statewide	33	Semiconductor machinery manufacturing	27	333242	6.5	3.4
398	27	999	Statewide	33	Ship building and repairing	27	336611	4.0	2.0
401	27	999	Statewide	33	Small arms ammunition manufacturing	27	332992	3.0	1.4
403	27	999	Statewide	33	Small electrical appliance manufacturing	27	335210	1.0	1.0
410	27	999	Statewide	33	Steel investment foundries	27	331512	4.0	2.0
412	27	999	Statewide	33	Storage battery manufacturing	27	335911	2.0	2.0
417	27	999	Statewide	33	Totalizing fluid meter and counting device manufacturing	27	334514	5.0	2.8
578	27	999	Statewide	48	Air traffic control	27	488111	6.0	2.8
584	27	999	Statewide	48	Coastal and great lakes passenger transportation	27	483114	2.0	1.0
585	27	999	Statewide	48	Deep sea freight transportation	27	483111	4.0	2.0
586	27	999	Statewide	48	Deep sea passenger transportation	27	483112	1.0	1.0
592	27	999	Statewide	48	Inland water passenger transportation	27	483212	3.0	1.0
605	27	999	Statewide	48	Other urban transit systems	27	485119	2.0	2.0
614	27	999	Statewide	48	Scheduled freight air transportation	27	481112	8.0	2.6
647	27	999	Statewide	51	Other motion picture and video industries	27	512199	4.75	2.0
671	27	999	Statewide	52	Credit card issuing	27	522210	25.75	8.88888888888889
683	27	999	Statewide	52	Monetary authorities - central bank	27	521110	4.0	2.0
695	27	999	Statewide	52	Secondary market financing	27	522294	10.0	5.0
696	27	999	Statewide	52	Securities and commodity exchanges	27	523210	2.0	1.0
884	27	999	Statewide	71	Amusement and theme parks	27	713110	14.0	5.555555555555555
954	27	999	Statewide	81	One-hour photofinishing	27	812922	10.5	3.6
