ZIPCODE,Num Industries,Total Establishments,Total Employees,Total Payroll
01223,7,148,1717,12442
01224,1,7,211,735
01225,7,184,2188,16484
01226,12,432,4634,139307
01227,1,6,1,1439
01229,1,8,211,995
01230,17,1637,9146,203222
01235,6,149,1486,6406
01236,7,150,1948,13932
01237,11,410,3975,35676
01238,15,1011,6011,98249
01240,14,935,6860,121569
01242,3,40,633,4307
01243,1,12,211,941
01244,1,7,211,2755
01245,3,47,633,3636
01247,15,1220,9616,148049
01252,1,10,211,281
01253,6,122,1706,3645
01254,5,96,1065,5548
01255,4,68,844,4973
01256,1,11,211,841
01257,12,422,3483,54005
01258,6,91,1296,7118
01259,4,87,844,6296
01260,1,15,211,25349
01262,10,259,3512,58363
01266,7,173,1917,6499
01267,15,718,5768,192444
01270,2,26,422,1174
01301,17,2143,11054,322029
01302,3,40,674,8897
01330,7,97,1497,3159
01331,15,821,5982,114721
01337,7,140,1527,12850
01338,2,36,642,3423
01339,6,88,1516,9652
01340,6,50,436,4639
01341,3,53,873,4997
01342,6,80,1066,39417
01344,4,57,1084,12667
01346,1,10,211,272
01349,1,14,211,690
01351,6,97,1066,3776
01354,5,67,1116,8943
01355,3,38,423,2214
01360,8,153,1959,42414
01364,11,463,4173,49811
01366,4,74,844,1265
01367,2,21,652,5747
01368,2,18,422,664
01370,14,457,4985,15716
01373,14,549,6085,158042
01375,8,179,2893,40924
01376,12,370,4246,68802
01378,1,10,211,217
01379,2,29,422,405
01420,17,2964,12952,419661
01430,11,334,3001,23238
01431,9,203,1929,7517
01432,15,888,8087,229043
01434,11,252,2716,274647
01436,5,80,1085,24692
01438,3,47,904,11335
01440,16,1624,10885,294216
01441,2,21,212,59477
01450,15,820,6369,87778
01451,14,556,4586,46930
01452,7,164,1958,11685
01453,18,4527,16001,764627
01460,16,1231,9660,656528
01462,14,842,5959,94109
01463,15,848,5677,49890
01464,12,449,3746,75677
01467,2,20,422,1161
01468,10,198,1930,11842
01469,15,505,4377,52539
01471,1,3,1,22314
01472,1,17,441,4927
01473,14,668,5698,56597
01474,4,93,1514,4714
01475,13,530,5118,38199
01501,17,2375,12730,502661
01503,11,343,3262,18409
01504,12,527,3504,33691
01505,13,460,4197,81440
01506,7,157,1707,5137
01507,15,953,7352,135852
01508,4,78,1345,8847
01509,1,9,211,988
01510,15,1004,8024,170578
01515,7,153,1938,13418
01516,12,470,4153,28307
01518,11,249,3503,26897
01519,12,364,3335,66276
01520,14,1076,7353,128161
01521,5,74,855,2169
01522,7,114,1717,4880
01523,13,465,4878,121175
01524,14,410,4398,42635
01525,5,52,906,7166
01526,3,35,863,1090
01527,16,1207,9691,158006
01529,8,104,1488,4162
01531,2,42,422,2002
01532,17,2017,10575,398785
01534,12,280,3463,45185
01535,12,298,3473,36439
01536,14,572,5027,113926
01537,11,268,3062,46742
01538,3,36,643,3110
01540,16,858,7542,310043
01541,12,252,2803,19924
01542,5,102,1547,22982
01543,12,460,4373,43870
01545,17,3285,14074,549789
01550,16,1216,7845,231295
01560,10,205,2591,16182
01561,4,48,654,17342
01562,15,769,6010,122180
01564,14,782,7383,117552
01566,14,943,8128,121808
01568,14,570,4335,28399
01569,15,1055,8474,162174
01570,16,1464,9858,316544
01571,14,635,5309,99454
01581,18,3879,18948,2035822
01583,15,939,8023,151327
01585,12,312,3325,30447
01588,14,852,7361,134478
01590,14,686,6899,96442
01601,2,17,212,28789
01602,15,1265,6873,101638
01603,16,1589,9157,256901
01604,18,2826,12185,383016
01605,18,2317,13613,1528842
01606,17,1709,11754,405077
01607,13,505,5160,129839
01608,18,2026,11760,909487
01609,16,2115,9932,416989
01610,16,1320,9387,352406
01611,6,109,1517,10216
01612,12,290,3263,25040
01613,4,58,854,10472
01615,2,18,243,44232
01653,1,5,1,220001
01655,1,9,231,3005
01701,18,4816,17827,2708321
01702,17,3660,13834,968317
01703,1,10,211,698
01704,1,8,211,492
01718,1,8,211,125
01719,15,511,5083,652787
01720,18,2856,13589,487106
01721,16,1591,8485,196404
01730,17,2101,12339,1876008
01731,4,84,895,21698
01740,14,491,4387,59879
01741,12,411,3663,37471
01742,18,3212,13321,862891
01745,2,26,432,9330
01746,16,1531,10551,362360
01747,14,637,6221,135093
01748,17,1827,11784,2100979
01749,17,2150,11747,397747
01752,18,5985,19074,3821444
01754,16,1006,7334,265540
01756,14,570,4398,46930
01757,17,3483,13644,1072476
01760,18,5273,16662,1457178
01770,13,378,3443,30637
01772,17,1356,10079,704225
01773,13,547,3957,84208
01775,15,560,4786,55805
01776,16,2091,9638,280458
01778,15,1407,7553,190497
01784,1,3,1,1467
01801,18,8548,21507,3332037
01803,19,6044,21085,4104656
01805,4,31,214,556760
01810,19,4109,18647,2790204
01821,17,2856,14863,1545256
01824,18,3239,14849,1456449
01826,16,2177,9606,226759
01827,6,172,1286,7434
01830,16,1965,10132,272014
01831,2,37,642,8942
01832,15,1247,8989,200680
01833,15,777,7342,89207
01834,12,474,3493,67289
01835,16,1173,9837,288957
01840,17,1361,9379,197169
01841,17,1668,8206,281877
01842,3,41,433,13670
01843,16,2001,12476,556274
01844,18,3759,14105,758713
01845,18,3573,15038,916205
01850,12,415,3975,43975
01851,15,1916,12511,1001915
01852,18,3065,12870,449615
01853,3,38,674,23469
01854,15,1183,7133,380641
01860,12,321,3463,23762
01862,16,1571,11389,631257
01863,16,906,8025,181801
01864,17,2061,11244,555990
01865,1,6,211,179
01866,2,8,2,18493
01867,16,2111,10342,349729
01876,17,2913,12954,1010668
01879,16,1222,8727,175929
01880,18,3600,15478,955323
01885,2,22,422,1053
01886,17,2556,11979,926640
01887,17,3422,15783,1807582
01888,2,35,422,26266
01890,17,2180,8906,449288
01901,15,1150,9258,301074
01902,15,1778,8255,146557
01903,1,10,211,2988
01904,14,1209,7162,95379
01905,14,1488,7855,196213
01906,17,3136,11932,310850
01907,16,1272,7576,101826
01908,8,138,1698,12038
01910,3,46,633,311065
01913,16,1696,9805,208562
01915,20,5077,17576,1286887
01921,13,558,4564,62810
01922,10,210,2140,37439
01923,18,4440,16499,1690787
01929,14,581,5238,60003
01930,17,3515,12803,555357
01931,3,28,423,2599
01936,1,19,211,2417
01937,1,4,1,1259
01938,16,1521,9377,374133
01940,16,1566,8947,293597
01944,13,714,5025,65968
01945,16,2256,10287,171354
01949,16,1348,10081,222691
01950,16,3095,13600,577247
01951,11,307,2802,17382
01952,15,1132,8045,143955
01960,17,5821,16694,1174256
01961,2,30,432,16674
01965,2,16,212,90420
01966,15,731,4525,26173
01969,16,871,7576,150796
01970,16,4690,13839,855690
01982,14,526,4366,43700
01983,15,885,6818,116431
01984,13,286,2814,44918
01985,11,271,1962,22228
02019,17,1608,10113,290901
02020,2,27,212,3726
02021,18,3814,16255,1850418
02025,14,1096,7311,95497
02026,17,3668,14313,762988
02027,3,40,653,46101
02030,14,469,4095,32325
02032,15,460,4911,132919
02035,17,2533,13359,942342
02038,17,3372,15037,827592
02041,1,9,211,464
02043,17,3440,13382,895157
02045,14,664,5718,35502
02047,1,3,1,469
02048,18,2399,12943,692783
02050,17,2049,9777,197276
02051,2,18,212,839
02052,15,1273,8693,100657
02053,16,1229,7984,139495
02054,14,748,6168,57563
02056,15,965,6359,116205
02059,1,7,211,223
02060,1,11,211,5683
02061,18,2448,13615,644297
02062,17,4918,17701,1757478
02065,1,6,211,466
02066,16,1491,7503,103596
02067,16,1457,7502,145360
02070,1,8,211,1377
02071,2,42,422,3448
02072,18,3718,15447,632403
02081,16,2362,11534,375858
02090,18,1998,11243,1007849
02093,16,1701,8319,187092
02108,17,4508,15158,2005060
02109,18,5746,16536,5174526
02110,19,7471,19658,10237245
02111,18,4139,15865,3301053
02112,1,13,211,2705
02113,11,696,4866,78399
02114,18,2825,12964,3559896
02115,16,2503,12846,4373949
02116,19,8285,21323,6731003
02117,2,29,422,366353
02118,17,3206,14127,1231322
02119,17,1759,11077,483696
02120,11,681,6278,203702
02121,12,746,5348,76259
02122,17,2151,10795,384249
02123,1,4,1,6305
02124,16,2292,9869,243182
02125,16,1839,11560,649616
02126,13,849,6900,72904
02127,18,2631,13350,709810
02128,17,3201,14989,1245649
02129,18,2033,13332,971083
02130,17,2635,10773,919289
02131,17,1785,8424,231549
02132,17,2091,10573,254403
02133,3,24,443,5796
02134,18,2132,11245,527762
02135,17,2663,12696,931101
02136,18,1713,12125,253189
02137,2,21,422,4922
02138,18,4602,16726,3139521
02139,17,4578,15812,5165444
02140,18,1971,10798,738590
02141,17,1620,10613,1316343
02142,16,2214,11433,5024392
02143,18,2568,13328,544808
02144,16,1729,9346,291110
02145,16,1728,9387,320998
02148,18,4050,14740,572088
02149,17,3166,12690,584074
02150,18,2898,13636,546420
02151,16,3206,12192,268056
02152,15,1064,5657,52613
02153,2,15,232,5473
02155,17,4549,14796,1152383
02156,1,3,1,2955
02163,5,112,1777,20046
02169,18,6271,18822,1692580
02170,15,1048,7050,77408
02171,17,1603,10537,1066578
02176,15,2069,9616,241942
02180,16,2384,10790,331544
02184,17,6131,18649,1632852
02185,2,22,212,23031
02186,16,1853,8634,240742
02187,1,7,221,1932
02188,15,1137,8325,155456
02189,18,1587,10592,590609
02190,15,1541,8746,458102
02191,13,488,4406,40390
02196,1,11,211,1326
02199,13,1073,9497,2932999
02201,1,4,1,1947
02203,2,20,422,2348
02205,2,36,422,6514
02210,19,4323,21070,7224440
02215,17,2180,12856,3963794
02222,2,20,422,1029
02238,4,72,1064,152203
02269,3,32,213,131921
02283,2,7,2,7704
02301,19,5499,17443,1167929
02302,16,1594,8758,412390
02303,3,24,213,33202
02305,1,6,211,891
02322,14,903,8338,282803
02324,17,2095,10497,303801
02327,2,14,212,681
02330,15,758,6159,63985
02331,6,84,1106,4710
02332,16,1282,6422,101506
02333,15,1023,8243,86965
02334,5,63,665,7415
02338,10,398,3963,41236
02339,17,2536,11976,338232
02341,14,710,5476,56059
02343,13,1049,8535,137284
02345,3,40,663,9392
02346,16,2170,10623,294771
02347,16,1159,7982,199372
02351,15,1350,8222,155843
02355,1,8,211,695
02356,15,1081,7374,115698
02357,2,14,212,44337
02358,2,17,422,2382
02359,17,2173,11735,303648
02360,18,6246,15967,1147541
02361,2,20,442,5622
02362,4,40,644,4101
02364,15,1495,9669,189081
02366,2,15,212,1620
02367,11,223,2172,108929
02368,16,2463,11702,379554
02370,17,1866,11524,470098
02375,16,1526,11734,313807
02379,15,1459,10383,385087
02382,15,958,7059,78649
02420,17,2018,9839,268761
02421,17,2204,11080,1782895
02445,15,1916,9175,220215
02446,17,2939,11275,300183
02447,1,11,211,384
02451,19,5011,19959,5951211
02452,17,1752,10781,481383
02453,18,3295,13361,1302530
02454,5,114,1547,133450
02455,1,7,231,4182
02456,1,6,211,410
02457,2,57,1134,109043
02458,18,2062,11734,620431
02459,18,2877,12673,766706
02460,16,1032,7072,113927
02461,16,975,7534,174872
02462,10,398,3816,513493
02464,15,973,7877,210346
02465,16,1262,7954,155637
02466,16,1031,8738,711215
02467,17,2107,10596,713292
02468,10,335,3010,17973
02471,2,37,652,55263
02472,18,3934,14566,1753730
02474,16,1854,8424,161442
02476,16,1628,9838,185465
02478,16,2384,10266,341625
02481,18,2867,11516,1405347
02482,14,1696,8693,265322
02492,16,2121,9000,331238
02493,16,1287,7525,248718
02494,18,2698,15250,1632619
02532,16,1188,8205,145808
02534,11,213,2402,24798
02535,7,185,1938,10753
02536,16,1514,8233,137590
02537,12,418,3484,48735
02538,10,402,4453,38140
02539,15,1321,6368,107115
02540,17,1927,9346,282210
02541,3,46,873,4115
02542,3,28,423,2345
02543,9,170,2411,112651
02552,1,9,211,2636
02553,4,60,854,3283
02554,17,4017,10248,327967
02556,12,395,4144,35959
02557,13,910,4155,97759
02558,8,144,1718,5383
02559,14,430,3935,65447
02561,7,127,1737,17320
02562,12,304,3505,35225
02563,17,1502,9346,141130
02564,4,55,634,9647
02568,16,1509,7919,108478
02571,16,1237,9660,228630
02574,5,71,1065,6265
02575,12,363,2833,31934
02576,12,344,3943,68458
02584,4,197,1284,14019
02601,17,4856,14962,1035508
02630,10,352,3021,21863
02631,13,1123,6626,96738
02632,15,1068,7061,61519
02633,16,963,5679,81016
02635,12,394,3043,18456
02637,3,24,423,2701
02638,13,348,3914,19893
02639,10,438,3292,27334
02641,7,134,1927,10859
02642,13,455,3883,18012
02643,4,69,1084,3454
02644,9,290,2841,16723
02645,15,1069,7072,106194
02646,12,417,4176,30920
02647,2,20,212,3130
02648,15,781,5278,49479
02649,17,1838,9587,142560
02650,7,121,1528,22490
02651,9,206,2159,19076
02652,8,250,2599,13122
02653,16,1614,8895,140948
02655,13,790,5496,83299
02657,14,1407,5719,92131
02659,6,142,1946,8354
02660,15,880,7101,93755
02661,3,27,213,1305
02662,2,29,432,2720
02663,4,59,844,4530
02664,15,1308,8474,154056
02666,6,123,1506,7200
02667,13,531,3914,31714
02668,15,382,3456,19553
02669,6,98,1286,10365
02670,7,200,2838,11362
02671,9,195,2139,8025
02672,3,32,633,968
02673,15,974,6211,105949
02675,13,636,5539,70692
02702,13,405,4355,120918
02703,18,3806,14503,810629
02712,2,6,2,4367
02713,1,15,211,785
02714,1,3,1,5901
02715,11,261,2811,13792
02717,12,355,3734,51902
02718,12,374,3764,85113
02719,16,1498,9408,436679
02720,17,2954,14407,838869
02721,18,2318,11246,365060
02722,7,170,2198,30184
02723,15,970,8076,111398
02724,13,852,6680,124971
02725,10,212,2924,46353
02726,15,1062,7269,92854
02738,15,588,6211,121761
02739,14,749,6796,53357
02740,18,3733,13539,612349
02741,3,33,423,1933
02742,1,13,211,5727
02743,13,692,5977,150546
02744,14,670,5350,66874
02745,17,1932,12469,344757
02746,16,1181,7785,132337
02747,16,2687,11974,424523
02748,13,838,6941,61031
02760,18,2764,12387,252686
02761,4,38,664,5010
02762,15,1325,9133,162634
02763,14,439,4679,110550
02764,11,305,3042,30360
02766,16,1417,9658,307616
02767,17,2061,11777,765292
02768,1,15,211,2643
02769,16,1060,7019,54405
02770,11,341,3032,13882
02771,17,2183,11536,265356
02777,16,1646,8718,183006
02779,10,342,3051,18217
02780,18,4202,15494,1265430
02790,17,1583,8886,120412
02791,1,12,211,1092
02801,1,9,211,1207
02802,2,15,212,2054
02804,8,277,2629,30650
02806,15,1372,8222,100671
02807,11,736,4112,38241
02808,4,81,1064,3015
02809,16,2167,10036,257083
02812,4,60,854,1616
02813,14,706,5718,42449
02814,12,549,4373,41171
02815,2,18,422,208
02816,16,2193,10287,261493
02817,15,620,5721,183544
02818,17,2681,11431,371091
02822,14,576,5268,66734
02824,2,24,663,3025
02825,11,332,3001,8126
02826,2,36,663,12044
02827,3,88,863,5336
02828,15,836,6914,95967
02829,1,18,211,1845
02830,10,443,4613,25264
02831,9,231,2359,7769
02832,10,263,2621,17628
02833,2,31,422,1812
02835,14,573,4806,36503
02836,1,3,1,4176
02837,12,386,3483,18879
02838,8,147,1938,9309
02839,5,58,875,5627
02840,19,4187,13590,560514
02841,4,84,1356,19314
02842,16,2431,11987,474023
02852,19,3039,14106,829081
02857,13,745,5685,33334
02858,2,20,212,1017
02859,11,340,2643,74156
02860,17,4020,14524,524082
02861,14,1740,9656,268607
02862,2,23,442,319730
02863,13,991,6231,79005
02864,18,2864,12460,663447
02865,17,2337,12942,774893
02871,16,1725,9092,258705
02872,2,23,422,660
02873,2,20,422,327
02874,14,366,4095,15123
02875,2,19,422,1311
02876,7,116,1558,23372
02878,15,1328,7731,88003
02879,16,2554,9805,284326
02880,3,29,213,2408
02881,10,365,3093,23528
02882,16,1579,8194,141042
02883,3,41,663,5925
02885,16,1398,8695,127607
02886,17,6633,20303,1677244
02887,2,19,212,13190
02888,15,2540,11258,343376
02889,15,1620,8243,108428
02891,17,2904,11243,349274
02892,12,418,3473,222860
02893,17,2019,10781,369398
02894,2,29,642,2611
02895,17,2907,12689,1117388
02896,15,1185,7123,146897
02898,12,320,3785,28685
02901,2,28,652,4513
02902,2,11,2,59523
02903,18,6274,18646,2853042
02904,17,3013,12876,555122
02905,17,2100,12666,575357
02906,17,2943,10551,493227
02907,18,2228,11736,329867
02908,16,2185,12776,729555
02909,16,2754,12132,307024
02910,17,2252,12218,322100
02911,13,851,6396,59581
02912,3,36,653,401091
02914,16,2929,12919,534982
02915,16,1299,9113,340653
02916,15,771,7417,171957
02917,17,2264,12228,696047
02918,2,59,1112,90023
02919,18,4106,14534,667902
02920,18,4933,15468,967301
02921,16,1054,8289,197921
02940,5,231,1065,9877
03031,16,1670,10318,220589
03032,12,537,5319,111378
03033,10,251,2611,38056
03034,13,326,2614,30840
03036,8,222,2158,13604
03037,10,315,2601,19005
03038,16,2645,12174,368795
03041,1,7,221,669
03042,14,806,6442,92731
03043,4,71,1074,4417
03044,9,189,1970,13648
03045,14,1030,7058,93292
03046,5,123,1065,11951
03047,7,96,1328,33680
03048,10,217,2181,14606
03049,15,619,4881,86303
03051,17,2493,11954,597276
03052,8,303,2860,26794
03053,18,2863,15101,762045
03054,17,2979,15041,1365231
03055,14,1494,9469,300026
03057,5,85,845,16143
03060,17,5080,15979,986270
03061,4,64,1084,229365
03062,17,1755,12227,718091
03063,17,2461,14805,584268
03064,16,976,7490,279436
03070,12,389,3504,25041
03071,11,396,3313,48811
03073,2,15,422,1634
03076,16,1140,7679,99562
03077,13,691,5328,131999
03079,17,5072,17179,1169213
03082,4,76,1064,4151
03084,5,80,1315,3727
03086,14,364,3834,62478
03087,16,1428,9136,183399
03101,17,3100,15551,1127241
03102,17,1673,8926,475543
03103,17,4235,17460,1182202
03104,17,2137,10362,425113
03105,3,41,663,17015
03106,16,1873,13390,537347
03108,4,60,885,44213
03109,17,1165,8940,365990
03110,17,3840,15518,846442
03111,1,8,211,848
03215,7,84,1348,10690
03216,7,126,1717,19669
03217,11,251,3053,20416
03218,4,46,634,1843
03220,17,587,5122,77065
03221,7,172,2178,10777
03222,14,527,4836,57404
03223,11,294,3703,14237
03224,8,138,1928,6348
03225,6,135,1076,5810
03226,5,84,1085,8546
03227,6,98,1496,5295
03229,15,422,3486,80479
03230,3,63,643,6567
03231,2,7,2,1447
03233,1,9,221,1766
03234,13,383,3536,48356
03235,13,591,5045,88957
03237,4,73,864,7036
03240,1,16,431,592
03241,4,72,1064,3681
03242,11,494,5063,55795
03243,1,16,211,129
03244,13,486,4816,75779
03245,7,184,1968,21096
03246,16,2124,10562,380111
03247,4,65,884,9504
03249,15,887,8034,110715
03251,13,554,4868,51063
03252,1,9,211,422
03253,14,976,7122,91554
03254,13,627,5076,49945
03255,6,104,1768,9172
03256,7,112,1538,18426
03257,13,760,6189,103376
03258,9,244,2840,21598
03259,3,31,633,1640
03260,5,61,855,10467
03261,10,327,3051,31943
03262,7,172,1937,10538
03263,13,323,3694,55956
03264,16,962,6883,118760
03266,8,130,1728,8443
03268,2,41,422,2429
03269,9,148,1540,10290
03273,1,12,211,433
03275,15,777,7581,104825
03276,17,1111,7890,188280
03278,11,228,2412,32673
03279,3,44,643,2475
03280,2,32,422,1858
03281,12,505,4143,50199
03282,3,29,213,6769
03284,6,87,1276,8099
03285,6,74,1056,3169
03287,5,95,855,4993
03289,2,15,212,1743
03290,7,126,1507,7878
03291,2,16,212,1660
03293,1,6,211,355
03301,18,6171,17838,1431018
03302,7,116,2021,64966
03303,16,684,5971,81946
03304,14,854,7132,172209
03307,10,304,3261,21519
03431,18,3341,15227,758157
03435,2,10,2,3544
03440,9,164,2410,12955
03441,1,3,1,1112
03442,5,50,635,17769
03443,2,28,432,29958
03444,10,167,2381,15572
03445,1,8,211,680
03446,13,410,4218,58671
03447,8,155,1948,10235
03448,5,53,855,4501
03449,6,89,1086,5042
03450,3,40,633,3674
03451,9,179,2400,22485
03452,14,590,5928,112612
03455,7,128,1287,12643
03456,2,14,212,1653
03457,2,23,212,1026
03458,16,1122,8246,183882
03461,13,516,4876,62154
03462,3,53,643,6521
03464,1,27,211,5479
03465,5,78,1085,5200
03466,5,103,1336,13498
03467,7,112,1497,7838
03468,1,8,211,261
03469,3,39,653,3478
03470,10,277,2831,26941
03561,16,1362,9615,180008
03570,16,615,5952,77318
03574,9,200,2809,13352
03575,2,13,212,27253
03576,13,486,4136,39374
03579,3,46,643,5143
03580,11,279,3043,28187
03581,13,464,5308,58193
03582,7,122,1297,4937
03583,4,64,874,8123
03584,14,513,5278,59966
03585,9,152,1959,42628
03586,3,34,213,3343
03588,5,84,855,5833
03590,3,43,863,1217
03592,6,124,1716,5355
03593,1,14,211,319
03595,3,55,423,3426
03597,3,22,433,1548
03598,9,241,2820,23441
03601,1,12,211,455
03602,7,188,1937,12441
03603,10,266,2884,90459
03605,2,29,422,2559
03607,3,31,643,708
03608,13,412,4397,51296
03609,3,39,663,8844
03740,2,22,212,4650
03741,10,195,2601,16714
03743,16,1380,9880,243494
03745,1,18,211,782
03746,1,8,211,379
03748,13,331,3494,27252
03749,1,3,1,472
03750,3,40,633,3148
03751,2,28,442,4596
03752,1,11,211,2702
03753,8,132,1718,6590
03754,1,4,1,1787
03755,17,997,7856,1013576
03756,3,30,663,342333
03765,1,12,211,397
03766,17,1645,10060,403279
03768,9,113,1100,17668
03769,1,9,211,690
03770,4,49,874,9794
03771,3,31,423,3473
03773,16,759,5965,130742
03774,8,164,2210,16865
03777,6,105,1276,4581
03779,2,14,212,2057
03780,2,14,212,5901
03781,4,92,1314,6645
03782,13,248,2814,12387
03784,16,1144,9638,191894
03785,10,281,3711,43968
03801,19,7725,20766,2488995
03802,5,69,1116,17016
03803,1,6,211,161
03804,1,4,1,3998
03809,13,356,3903,26824
03810,5,112,1065,5348
03811,15,434,3759,71855
03812,8,111,1298,12563
03813,13,306,3244,29950
03814,7,146,1978,8069
03816,5,73,1065,2889
03817,2,32,422,1482
03818,14,738,6158,75231
03819,6,165,1066,6274
03820,18,3486,13803,887452
03821,5,67,1086,9972
03823,5,64,896,7194
03824,14,755,6368,68679
03825,13,626,5957,86979
03826,8,195,2169,17362
03827,9,272,2359,14825
03830,4,46,654,2128
03832,2,18,212,567
03833,17,2880,13360,695865
03835,12,402,3733,26738
03836,4,65,874,8774
03837,4,61,854,3153
03838,6,120,1967,9303
03839,13,308,3484,37084
03840,15,632,5558,109274
03841,15,730,6587,64110
03842,18,2043,10280,278908
03843,3,35,454,8043
03844,12,323,3023,24310
03845,7,160,2208,9037
03846,8,167,2860,16446
03847,2,17,422,1498
03848,15,647,5258,50419
03849,8,142,1698,13179
03850,2,32,652,3829
03851,7,127,1538,25513
03852,2,16,212,2185
03853,2,24,432,2251
03854,4,70,634,13384
03855,4,85,644,5060
03856,10,183,1751,21132
03857,13,574,5497,53572
03858,7,203,1727,17693
03860,15,1534,8518,171887
03861,12,252,3294,27715
03862,16,865,7291,90405
03864,11,276,3052,18338
03865,15,1338,8978,168927
03866,1,13,441,1782
03867,17,1908,11073,375860
03868,9,272,2860,39152
03869,9,185,1959,22817
03870,12,427,4185,53902
03871,3,46,633,4942
03872,12,280,3714,13008
03873,9,229,2359,9014
03874,16,1329,9011,296405
03875,2,20,212,1963
03878,13,1112,8557,231147
03882,4,51,854,6710
03883,1,3,1,2420
03884,8,157,1278,12386
03885,13,869,7614,226186
03886,9,270,2569,14120
03887,4,62,634,7374
03890,3,89,1575,9423
03894,16,1144,7480,112023
03896,4,79,1095,6640
03897,1,6,211,94
03901,11,334,3492,21511
03902,8,236,2358,22119
03903,13,509,4364,49496
03904,14,1326,6872,115588
03905,5,73,1055,2428
03906,10,306,2631,194578
03907,8,709,3080,49895
03908,15,438,4357,33691
03909,15,1458,8872,184769
03910,3,137,874,13911
03911,4,47,644,5346
04001,7,127,1707,3965
04002,12,508,4154,24152
04003,2,50,422,3005
04004,2,21,642,1817
04005,18,2757,12682,511376
04006,1,17,211,1008
04008,6,173,1276,4460
04009,15,830,5949,79564
04010,3,47,643,2417
04011,19,3227,11937,498434
04014,1,7,211,421
04015,10,310,3502,23026
04016,1,15,441,2544
04017,4,61,424,2688
04020,9,208,2652,14208
04021,13,598,4784,41541
04022,6,84,866,6522
04024,1,10,211,5763
04027,10,264,2800,11973
04029,5,92,1075,3511
04030,9,168,2190,12087
04032,16,1505,8928,152655
04033,2,24,464,140260
04037,14,428,4555,43081
04038,16,1630,9408,209095
04039,13,883,5696,60362
04040,8,227,1728,8761
04041,3,56,643,2766
04042,11,261,2832,37889
04043,15,1735,8967,210215
04046,16,1177,6340,73984
04047,5,97,1095,7605
04048,8,245,2158,16169
04049,9,151,1730,5838
04050,2,18,422,174
04051,6,118,1266,5089
04054,2,14,212,3526
04055,13,496,4344,26880
04056,2,24,422,390
04057,1,14,211,447
04061,5,100,875,5261
04062,17,2180,10088,158413
04063,2,28,422,1060
04064,13,996,4585,38457
04066,3,53,633,2166
04068,7,95,1057,12440
04069,6,131,1486,3171
04070,8,132,1278,20428
04071,13,549,4386,41665
04072,17,2482,10539,295131
04073,16,1721,10623,223506
04074,18,3437,14974,690947
04076,6,135,1486,4049
04077,1,12,211,2734
04078,3,42,633,1585
04079,13,447,2983,12678
04082,1,3,1,1419
04083,11,346,3963,27539
04084,15,550,3937,50516
04085,2,39,642,1378
04086,14,1135,6995,107796
04087,7,152,1548,12659
04088,4,69,844,2481
04090,14,1401,6389,108669
04091,2,41,422,1195
04092,18,2457,14507,943571
04093,13,493,3904,34553
04094,2,19,212,5867
04095,4,65,644,1978
04096,16,1411,7775,166085
04097,14,378,2595,13455
04098,2,33,422,10255
